Trdmnt,RF,RM,MKT_RF,SMB,HML_EP,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1992-07,0.006091999999999999,0.000752,-0.005339999999999999,,,-0.08310578662548301,0.354497,0.182979,,0.03339327302139297,0.086705,3,1,1,0,3,1
1992-08,0.006091999999999999,-0.153638,-0.15972999999999998,,,-0.2314103301973426,-0.279297,-0.080935,,-0.10707675787780516,-0.082447,3,1,1,0,3,1
1992-09,0.006091999999999999,-0.105012,-0.111104,,,-0.18777112345656588,-0.098916,0.007828,,-0.042268317962243375,0.037681,3,1,1,0,3,1
1992-10,0.006091999999999999,-0.210241,-0.216333,,,-0.33250357794745944,-0.254135,-0.165049,,-0.1603633387077949,-0.167598,3,1,1,0,3,1
1992-11,0.006091999999999999,0.211334,0.205242,,,0.46437140085544376,0.350806,-0.05813999999999999,,0.050874122463679394,-0.020134,3,1,1,0,3,1
1992-12,0.006091999999999999,0.180465,0.174373,,,0.07326941710607783,0.086566,0.180247,,0.10422100248157462,0.215753,3,1,1,0,3,1
1993-01,0.006091999999999999,0.456366,0.450274,,,0.4091151131418684,0.413462,0.131799,,0.16279302055188805,0.078873,3,1,1,0,3,1
1993-02,0.006091999999999999,0.151968,0.145876,,,0.15577311492369525,0.280855,0.297597,,0.11255823256628901,0.248042,3,1,1,0,3,1
1993-03,0.006091999999999999,-0.259728,-0.26582,,,-0.3139752627577077,-0.10470600000000001,-0.13960100000000003,,-0.12155396160400796,-0.046025,3,1,1,0,3,1
1993-04,0.006091999999999999,0.172072,0.16598000000000002,,,0.4808087663001366,0.439918,0.034768,,0.09255738271934844,0.095494,3,1,1,0,3,1
1993-05,0.007346,-0.271273,-0.278619,,,-0.27146742061963147,-0.264647,-0.137874,,-0.14810511415498612,-0.119134,3,1,1,0,3,1
1993-06,0.007346,0.040164,0.032818,,,0.018908139394601828,0.080451,-0.090909,,-0.061437730490858024,-0.11885200000000001,3,1,1,0,3,1
1993-07,0.008719,-0.163695,-0.172414,,,-0.042399281226947645,,,,-0.08209,0.014706000000000002,2,0,0,0,1,1
1993-08,0.008719,0.047176,0.038457000000000005,,,0.040210083705937406,,,,-0.038618,0.12318799999999999,2,0,0,0,1,1
1993-09,0.008719,-0.026604,-0.035323,,,0.24382042941111784,,,,-0.044397,-0.070968,2,0,0,0,1,1
1993-10,0.008719,-0.084586,-0.093305,,,0.17743496218163504,,,,-0.033186,-0.041667,2,0,0,0,1,1
1993-11,0.008719,0.167208,0.158489,,,0.13156031717472322,,,,0.016018,0.181159,2,0,0,0,1,1
1993-12,0.008719,-0.134264,-0.142983,,,-0.00017050312160067226,,,,0.006757000000000001,0.0,2,0,0,0,1,1
1994-01,0.008719,-0.101872,-0.11059100000000001,,,-0.17566880309479693,,,,-0.192394,-0.205521,2,0,0,0,1,1
1994-02,0.008719,0.007581,-0.0011379999999999993,,,0.07918838311895234,,,,0.00554,0.057915,2,0,0,0,1,1
