form_year,Stkcd,size_june,size_dec_prev,earnings,ep,size2,ep3,leg_2x3,size5,ep5
1992,000001,5657258.25,2634210.72,112650000.0,42.76423261993254,2,2,BM,4,4
1992,000003,1847481.27,527546.68,28263700.0,53.57573286216112,2,3,BH,3,4
1992,000004,687375.0,148750.0,8040000.0,54.05042016806723,1,3,SH,2,5
1992,000009,7670245.8,2655354.0,80140000.0,30.180533367679036,2,2,BM,5,3
1992,600602,4185000.0,1796800.0,23631404.45,13.151939253116652,2,2,BM,4,2
1992,600652,111510.0,33426.0,118747.42,3.5525465206725304,1,1,SL,1,1
1992,600653,378000.0,74750.0,1676645.91,22.430045618729096,1,2,SM,1,3
1992,600654,885612.0,197388.95,1764533.85,8.93937502580565,1,1,SL,3,2
1992,600656,878081.12,4797628.05,4257464.57,0.8874103047650809,1,1,SL,2,1
1993,000001,7220399.69,5993999.81,172110000.0,28.713714623891523,2,2,BM,4,3
1993,000008,425482.2,430056.0,10670792.58,24.8125652938222,1,1,SL,2,2
1993,000016,2366035.52,2822231.1,90594091.56,32.10016768648039,2,3,BH,3,4
1993,600601,297600.0,237800.0,3092917.04,13.006379478553406,1,1,SL,1,1
1994,000001,3620976.56,6021490.04,273311145.21,45.38928793279213,2,2,BM,5,2
1994,000009,3385788.64,6742198.47,421719905.07,62.54931636119576,2,3,BH,5,5
1994,000013,924532.85,2090172.76,101964373.73,48.78274929293405,2,2,BM,3,3
1994,000030,850512.0,2016950.0,115404353.83,57.21726063115099,1,3,SH,3,4
1994,000032,426922.8,881990.0,34782743.18,39.43666388507806,1,1,SL,2,2
1994,000508,1365432.3,3001081.5,210608588.88,70.17756394819668,2,3,BH,4,5
1994,000514,238853.16,546273.0,13279855.23,24.309924213717316,1,1,SL,1,1
1994,000516,177182.45,466003.0,12464623.83,26.747947609779338,1,1,SL,1,1
1994,000520,669242.53,1453470.75,75977836.43,52.27338522636249,1,2,SM,2,4
1994,000529,1295959.54,2121835.59,116196254.67,54.76213860188857,2,2,BM,4,4
1994,000535,682519.74,1113354.0,48915929.2,43.93564778138849,1,2,SM,2,2
1994,000536,331100.0,698500.0,27303063.36,39.08813652111668,1,1,SL,1,1
1994,000541,1169125.5,1890665.0,94716548.19,50.096949057606714,2,2,BM,4,3
1995,000001,3952899.41,4517599.33,356328024.05,78.87552614144734,2,3,BH,5,4
1995,000002,905265.55,1122230.02,180386104.28,160.73897602561016,2,3,BH,4,5
1995,000003,703358.78,927085.11,131418374.74,141.75437974621337,1,3,SH,3,5
1995,000004,347358.38,466452.68,29236770.55,62.67896359819393,1,2,SM,1,3
1995,000005,1020600.0,1283100.0,67841463.36,52.87309123217208,2,2,BM,4,3
1995,000006,601944.49,762602.12,57682979.12,75.6396784210356,1,3,SH,2,4
1995,000007,293078.36,414580.69,26728546.99,64.47127817265198,1,2,SM,1,4
1995,000008,230745.72,305944.1,7597433.39,24.832750133112555,1,1,SL,1,1
1995,000009,2501331.49,3199473.9,432558948.18,135.19689852134752,2,3,BH,5,5
1995,000011,1444989.34,2135726.01,257714943.16,120.66854172928298,2,3,BH,5,5
1995,000012,1257636.52,1313978.63,161143719.7,122.6380064491612,2,3,BH,4,5
1995,000013,967377.05,1001201.42,135660339.35,135.4975498836188,2,3,BH,4,5
1995,000014,403051.79,577325.07,28022404.82,48.53834741664692,1,2,SM,1,3
1995,000015,469745.77,579398.24,16325297.37,28.176297825827017,1,1,SL,1,1
1995,000016,1234788.86,1508101.81,226708820.69,150.32726516653406,2,3,BH,4,5
1995,000017,922491.36,1188208.98,137208585.84,115.47512950120947,2,3,BH,4,5
1995,000018,624507.05,838290.58,37692313.34,44.96330298737224,1,2,SM,3,2
1995,000020,585556.62,725418.87,45708606.29,63.009949396546574,1,2,SM,2,4
1995,000021,982095.63,995367.19,53404210.24,53.6527733448799,2,2,BM,4,3
1995,000022,981999.9,1207919.02,112479608.37,93.11850091573191,2,3,BH,4,5
1995,000023,451440.0,465120.0,45828155.29,98.52974563553491,1,3,SH,1,5
1995,000024,1180800.0,935040.0,106406935.6,113.79934077686515,2,3,BH,4,5
1995,000025,722649.6,874229.76,50111660.44,57.32092721254421,1,2,SM,3,3
1995,000026,688620.0,634110.0,66990670.77,105.64518895775181,1,3,SH,3,5
1995,000027,1034880.0,1291840.0,125320461.81,97.00927499535547,2,3,BH,4,5
1995,000028,488070.0,449735.0,36021779.24,80.095565699801,1,3,SH,2,4
1995,000029,2526370.0,2793868.0,448968014.85,160.69764743717315,2,3,BH,5,5
1995,000030,995280.0,1160406.0,117311056.74,101.09483813423923,2,3,BH,4,5
1995,000031,838200.0,1078000.0,104518505.76,96.95594226345084,2,3,BH,3,5
1995,000032,434058.0,513734.4,35940188.39,69.95869536865742,1,2,SM,1,4
1995,000033,1205698.43,894600.0,47238205.86,52.80371770623742,2,2,BM,4,3
1995,000034,807024.0,1169600.0,56666060.2,48.44909387824897,2,2,BM,3,3
1995,000035,501475.52,510552.0,15179812.74,29.73215801720491,1,1,SL,2,2
1995,000036,390274.5,451143.0,10345250.12,22.93119946447135,1,1,SL,1,1
1995,000037,1375660.0,1437150.0,99841370.64,69.47178140068887,2,2,BM,5,4
1995,000038,550620.0,660060.0,24222740.29,36.69778548919795,1,1,SL,2,2
1995,000039,1030560.0,865640.0,93486720.03,107.99722751952312,2,3,BH,4,5
1995,000040,793864.82,908235.18,75906950.32,83.57631590531429,2,3,BH,3,4
1995,000042,1078257.6,1069137.0,97898792.1,91.5680517089952,2,3,BH,4,5
1995,000043,819000.0,819000.0,58126814.04,70.97291091575092,2,2,BM,3,4
