Trdmnt,size_quintile,ep_quintile,portfolio,vw_return,excess_return,n_stocks
1992-07,1,1,S1E1,0.246973,0.240881,1
1992-07,1,2,S1E2,,,0
1992-07,1,3,S1E3,0.354497,0.348405,1
1992-07,1,4,S1E4,,,0
1992-07,1,5,S1E5,,,0
1992-07,2,1,S2E1,-0.075843,-0.081935,1
1992-07,2,2,S2E2,,,0
1992-07,2,3,S2E3,,,0
1992-07,2,4,S2E4,,,0
1992-07,2,5,S2E5,0.182979,0.17688700000000002,1
1992-07,3,1,S3E1,,,0
1992-07,3,2,S3E2,-0.131868,-0.13796,1
1992-07,3,3,S3E3,,,0
1992-07,3,4,S3E4,0.086705,0.080613,1
1992-07,3,5,S3E5,,,0
1992-07,4,1,S4E1,,,0
1992-07,4,2,S4E2,-0.146476,-0.15256799999999998,1
1992-07,4,3,S4E3,,,0
1992-07,4,4,S4E4,0.085714,0.079622,1
1992-07,4,5,S4E5,,,0
1992-07,5,1,S5E1,,,0
1992-07,5,2,S5E2,,,0
1992-07,5,3,S5E3,0.092943,0.086851,1
1992-07,5,4,S5E4,,,0
1992-07,5,5,S5E5,,,0
1992-08,1,1,S1E1,-0.267961,-0.274053,1
1992-08,1,2,S1E2,,,0
1992-08,1,3,S1E3,-0.279297,-0.285389,1
1992-08,1,4,S1E4,,,0
1992-08,1,5,S1E5,,,0
1992-08,2,1,S2E1,-0.224924,-0.231016,1
1992-08,2,2,S2E2,,,0
1992-08,2,3,S2E3,,,0
1992-08,2,4,S2E4,,,0
1992-08,2,5,S2E5,-0.080935,-0.08702700000000001,1
1992-08,3,1,S3E1,,,0
1992-08,3,2,S3E2,-0.231646,-0.23773799999999998,1
1992-08,3,3,S3E3,,,0
1992-08,3,4,S3E4,-0.082447,-0.088539,1
1992-08,3,5,S3E5,,,0
1992-08,4,1,S4E1,,,0
1992-08,4,2,S4E2,-0.234323,-0.240415,1
1992-08,4,3,S4E3,,,0
1992-08,4,4,S4E4,-0.095395,-0.101487,1
1992-08,4,5,S4E5,,,0
1992-08,5,1,S5E1,,,0
1992-08,5,2,S5E2,,,0
1992-08,5,3,S5E3,-0.061417,-0.067509,1
1992-08,5,4,S5E4,,,0
1992-08,5,5,S5E5,,,0
1992-09,1,1,S1E1,-0.14191,-0.148002,1
1992-09,1,2,S1E2,,,0
1992-09,1,3,S1E3,-0.098916,-0.105008,1
1992-09,1,4,S1E4,,,0
1992-09,1,5,S1E5,,,0
1992-09,2,1,S2E1,-0.213725,-0.21981699999999998,1
1992-09,2,2,S2E2,,,0
1992-09,2,3,S2E3,,,0
1992-09,2,4,S2E4,,,0
1992-09,2,5,S2E5,0.007828,0.0017360000000000006,1
1992-09,3,1,S3E1,,,0
1992-09,3,2,S3E2,-0.16804,-0.17413199999999998,1
1992-09,3,3,S3E3,,,0
1992-09,3,4,S3E4,0.037681,0.031589,1
1992-09,3,5,S3E5,,,0
1992-09,4,1,S4E1,,,0
1992-09,4,2,S4E2,-0.240951,-0.24704299999999998,1
1992-09,4,3,S4E3,,,0
1992-09,4,4,S4E4,0.081212,0.07512,1
1992-09,4,5,S4E5,,,0
1992-09,5,1,S5E1,,,0
1992-09,5,2,S5E2,,,0
1992-09,5,3,S5E3,-0.060403,-0.066495,1
1992-09,5,4,S5E4,,,0
1992-09,5,5,S5E5,,,0
1992-10,1,1,S1E1,-0.295209,-0.301301,1
1992-10,1,2,S1E2,,,0
1992-10,1,3,S1E3,-0.254135,-0.260227,1
1992-10,1,4,S1E4,,,0
1992-10,1,5,S1E5,,,0
1992-10,2,1,S2E1,-0.412718,-0.41880999999999996,1
1992-10,2,2,S2E2,,,0
1992-10,2,3,S2E3,,,0
1992-10,2,4,S2E4,,,0
1992-10,2,5,S2E5,-0.165049,-0.171141,1
1992-10,3,1,S3E1,,,0
1992-10,3,2,S3E2,-0.258416,-0.26450799999999997,1
1992-10,3,3,S3E3,,,0
1992-10,3,4,S3E4,-0.167598,-0.17368999999999998,1
1992-10,3,5,S3E5,,,0
1992-10,4,1,S4E1,,,0
1992-10,4,2,S4E2,-0.467726,-0.47381799999999996,1
1992-10,4,3,S4E3,,,0
1992-10,4,4,S4E4,-0.10426,-0.110352,1
1992-10,4,5,S4E5,,,0
1992-10,5,1,S5E1,,,0
1992-10,5,2,S5E2,,,0
1992-10,5,3,S5E3,-0.119643,-0.12573499999999999,1
1992-10,5,4,S5E4,,,0
1992-10,5,5,S5E5,,,0
1992-11,1,1,S1E1,0.432018,0.425926,1
1992-11,1,2,S1E2,,,0
1992-11,1,3,S1E3,0.350806,0.344714,1
1992-11,1,4,S1E4,,,0
1992-11,1,5,S1E5,,,0
1992-11,2,1,S2E1,0.532909,0.526817,1
1992-11,2,2,S2E2,,,0
1992-11,2,3,S2E3,,,0
1992-11,2,4,S2E4,,,0
1992-11,2,5,S2E5,-0.05813999999999999,-0.06423199999999998,1
1992-11,3,1,S3E1,,,0
1992-11,3,2,S3E2,0.41522,0.409128,1
1992-11,3,3,S3E3,,,0
1992-11,3,4,S3E4,-0.020134,-0.026226,1
1992-11,3,5,S3E5,,,0
1992-11,4,1,S4E1,,,0
1992-11,4,2,S4E2,1.193665,1.187573,1
1992-11,4,3,S4E3,,,0
1992-11,4,4,S4E4,-0.041302,-0.047394,1
1992-11,4,5,S4E5,,,0
1992-11,5,1,S5E1,,,0
1992-11,5,2,S5E2,,,0
1992-11,5,3,S5E3,-0.066937,-0.073029,1
1992-11,5,4,S5E4,,,0
1992-11,5,5,S5E5,,,0
1992-12,1,1,S1E1,0.163859,0.15776700000000002,1
1992-12,1,2,S1E2,,,0
1992-12,1,3,S1E3,0.086566,0.080474,1
1992-12,1,4,S1E4,,,0
1992-12,1,5,S1E5,,,0
1992-12,2,1,S2E1,0.063711,0.057619000000000004,1
1992-12,2,2,S2E2,,,0
