size_decile,beta_decile_within_size,portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
1,1,S1B1,2.721,0.9475,1522870.72
1,2,S1B2,2.491,1.1498,1593040.42
1,3,S1B3,2.891,1.2098,1579529.09
1,4,S1B4,2.692,1.1488,1592367.15
1,5,S1B5,2.260,1.0726,1591004.52
1,6,S1B6,3.281,1.3550,1582714.14
1,7,S1B7,2.673,1.1077,1587710.30
1,8,S1B8,2.731,1.3030,1602323.88
1,9,S1B9,2.936,1.2373,1577403.19
1,10,S1B10,2.237,1.1164,1538140.99
2,1,S2B1,2.503,1.3493,2263687.11
2,2,S2B2,2.243,1.1709,2288485.25
2,3,S2B3,1.981,1.1001,2266297.94
2,4,S2B4,2.212,1.1033,2294948.34
2,5,S2B5,2.053,1.0933,2272775.25
2,6,S2B6,2.258,1.0091,2282288.85
2,7,S2B7,2.166,1.1486,2275763.77
2,8,S2B8,1.883,1.1323,2273502.39
2,9,S2B9,1.683,1.0976,2299384.05
2,10,S2B10,1.877,1.1274,2312637.04
3,1,S3B1,1.640,0.9070,2870010.72
3,2,S3B2,1.977,1.0372,2914076.53
3,3,S3B3,1.807,1.0398,2879381.78
3,4,S3B4,1.546,0.9987,2904404.56
3,5,S3B5,1.865,1.1605,2895642.57
3,6,S3B6,1.708,1.1356,2894245.39
3,7,S3B7,1.344,0.9814,2894319.28
3,8,S3B8,1.654,1.0753,2886032.90
3,9,S3B9,1.830,1.0894,2900871.82
3,10,S3B10,1.632,1.1312,2924046.61
4,1,S4B1,1.505,1.0762,3592067.73
4,2,S4B2,1.838,1.0886,3584326.50
4,3,S4B3,1.903,0.8597,3542584.14
4,4,S4B4,1.463,1.1590,3563119.00
4,5,S4B5,1.604,1.0561,3588951.04
4,6,S4B6,1.679,0.8116,3593594.11
4,7,S4B7,1.437,1.0729,3566362.92
4,8,S4B8,1.630,1.2498,3595287.05
4,9,S4B9,1.236,1.0607,3572713.43
4,10,S4B10,1.562,1.1292,3623426.35
5,1,S5B1,1.799,1.1043,4418955.55
5,2,S5B2,1.603,1.1045,4467283.75
5,3,S5B3,1.554,1.1086,4410935.43
5,4,S5B4,1.485,0.8816,4454984.74
5,5,S5B5,1.134,1.0476,4454018.16
5,6,S5B6,0.951,1.0062,4421494.32
5,7,S5B7,1.819,1.1724,4416432.82
5,8,S5B8,1.728,1.1527,4465813.91
5,9,S5B9,1.319,1.0899,4451022.72
5,10,S5B10,1.169,1.1272,4466523.10
6,1,S6B1,1.179,0.9931,5571772.16
6,2,S6B2,1.493,0.9844,5619543.41
6,3,S6B3,1.569,1.1290,5566815.56
6,4,S6B4,1.767,1.3789,5587517.38
6,5,S6B5,1.462,1.1061,5641734.07
6,6,S6B6,1.613,1.1536,5549177.79
6,7,S6B7,1.111,1.1687,5575025.94
6,8,S6B8,1.329,1.0382,5569429.14
6,9,S6B9,1.738,1.3261,5639982.72
6,10,S6B10,0.763,1.1283,5670700.75
7,1,S7B1,1.105,0.8180,7464159.55
7,2,S7B2,1.667,1.0826,7558113.22
7,3,S7B3,1.635,1.0509,7554861.64
7,4,S7B4,1.302,1.1627,7475890.68
7,5,S7B5,1.348,1.1165,7532735.35
7,6,S7B6,1.151,1.1006,7515270.94
7,7,S7B7,0.841,1.0301,7431272.59
7,8,S7B8,1.155,1.1437,7513745.94
7,9,S7B9,1.094,1.1077,7427073.76
7,10,S7B10,0.739,1.1588,7549487.59
8,1,S8B1,1.504,0.8187,10651583.04
8,2,S8B2,1.401,0.7728,10656073.40
8,3,S8B3,1.230,0.9767,10731699.57
8,4,S8B4,1.302,0.8716,10665822.84
8,5,S8B5,1.223,1.0914,10666829.77
8,6,S8B6,0.985,0.8763,10423059.36
8,7,S8B7,1.077,0.7670,10511009.47
8,8,S8B8,1.044,1.1395,10616441.37
8,9,S8B9,1.117,0.9475,10588616.15
8,10,S8B10,0.409,1.0414,10589959.73
9,1,S9B1,1.278,0.7052,17613879.55
9,2,S9B2,1.380,1.0455,17661026.04
9,3,S9B3,1.332,1.0490,17209418.77
9,4,S9B4,0.750,1.0109,17524623.74
9,5,S9B5,1.560,1.1378,17713558.94
9,6,S9B6,1.010,1.0365,17624782.65
9,7,S9B7,0.887,1.0557,17748845.29
9,8,S9B8,0.657,1.0757,17443397.18
9,9,S9B9,0.982,1.1039,17692723.02
9,10,S9B10,1.051,1.1339,17897637.96
10,1,S10B1,1.146,0.6774,166501602.83
10,2,S10B2,1.307,0.9747,124093283.22
10,3,S10B3,1.260,0.9116,78296324.09
10,4,S10B4,1.098,0.7394,80211733.57
10,5,S10B5,0.822,0.9830,92809210.94
10,6,S10B6,0.354,0.9049,75179012.76
10,7,S10B7,0.910,0.7671,67411490.94
10,8,S10B8,0.729,1.0948,63642941.27
10,9,S10B9,0.761,1.1549,64942499.87
10,10,S10B10,0.553,1.2082,63020169.78
