model,coefficient,avg_lambda,nw12_tstat
M1_beta,intercept,0.0178771126,2.7869
M1_beta,beta,-0.0058160927,-1.5271
M2_ln_size,intercept,0.0913434190,3.8898
M2_ln_size,ln_size,-0.0053194424,-3.7742
M3_ln_be_me,intercept,-0.0068710114,-0.6413
M3_ln_be_me,ln_be_me,0.0034579429,2.0980
M4_beta_ln_size,intercept,0.1067288332,3.4846
M4_beta_ln_size,beta,-0.0044039466,-1.5324
M4_beta_ln_size,ln_size,-0.0061507639,-3.0755
M5_beta_ln_be_me,intercept,0.0028651747,0.2831
M5_beta_ln_be_me,beta,-0.0053623258,-1.4171
M5_beta_ln_be_me,ln_be_me,0.0024090570,1.5867
M6_ln_size_ln_be_me,intercept,0.0774309112,2.6406
M6_ln_size_ln_be_me,ln_size,-0.0055289320,-3.4927
M6_ln_size_ln_be_me,ln_be_me,0.0030075032,1.8474
M7_all3,intercept,0.0917596872,2.5353
M7_all3,beta,-0.0039615669,-1.4433
M7_all3,ln_size,-0.0059867377,-2.9277
M7_all3,ln_be_me,0.0019512268,1.2486
M8_eplusp_nege,intercept,0.0119380199,2.0280
M8_eplusp_nege,eplus_p,0.0000222184,0.5872
M8_eplusp_nege,neg_e,0.0035835626,1.5271
M9_all3_ep,intercept,0.0643685769,2.6559
M9_all3_ep,beta,-0.0011166723,-0.6017
M9_all3_ep,ln_size,-0.0044772821,-3.4165
M9_all3_ep,ln_be_me,0.0028662194,2.3970
M9_all3_ep,eplus_p,0.0000366811,1.5657
M9_all3_ep,neg_e,0.0005718642,0.3249
