size_decile,beme_decile_within_size,portfolio,avg_monthly_return_pct,avg_size
1,1,S1M1,3.079,1461952.70
1,2,S1M2,2.120,1565784.69
1,3,S1M3,2.492,1606597.36
1,4,S1M4,2.777,1641702.75
1,5,S1M5,2.434,1628350.77
1,6,S1M6,3.122,1626995.94
1,7,S1M7,2.295,1642724.69
1,8,S1M8,3.170,1671361.26
1,9,S1M9,2.815,1657200.06
1,10,S1M10,2.485,1581202.83
2,1,S2M1,1.808,2240621.09
2,2,S2M2,1.694,2269939.95
2,3,S2M3,1.773,2257036.28
2,4,S2M4,2.495,2260826.16
2,5,S2M5,2.169,2250886.21
2,6,S2M6,1.956,2249220.27
2,7,S2M7,2.361,2274648.07
2,8,S2M8,2.234,2252488.64
2,9,S2M9,2.308,2256757.13
2,10,S2M10,2.196,2280489.01
3,1,S3M1,1.097,2825369.32
3,2,S3M2,1.938,2853996.37
3,3,S3M3,1.400,2837345.54
3,4,S3M4,2.065,2840095.78
3,5,S3M5,1.670,2850525.03
3,6,S3M6,2.018,2840639.59
3,7,S3M7,1.870,2847972.06
3,8,S3M8,2.476,2842497.84
3,9,S3M9,2.345,2852239.82
3,10,S3M10,2.045,2868612.08
4,1,S4M1,0.912,3488221.86
4,2,S4M2,1.575,3487884.30
4,3,S4M3,1.407,3517332.33
4,4,S4M4,1.682,3494733.23
4,5,S4M5,1.864,3520616.53
4,6,S4M6,1.564,3493016.73
4,7,S4M7,2.144,3515951.96
4,8,S4M8,1.394,3511139.26
4,9,S4M9,1.702,3488506.23
4,10,S4M10,2.112,3535545.02
5,1,S5M1,0.480,4313797.09
5,2,S5M2,1.343,4365559.30
5,3,S5M3,0.994,4359777.79
5,4,S5M4,1.818,4353568.24
5,5,S5M5,1.731,4351551.17
5,6,S5M6,1.644,4344555.98
5,7,S5M7,1.701,4338285.34
5,8,S5M8,1.866,4368908.37
5,9,S5M9,1.194,4349516.16
5,10,S5M10,1.895,4357677.16
6,1,S6M1,0.681,5502532.33
6,2,S6M2,1.606,5554184.29
6,3,S6M3,1.198,5482769.06
6,4,S6M4,1.024,5506065.59
6,5,S6M5,1.556,5479542.15
6,6,S6M6,1.485,5497581.52
6,7,S6M7,1.799,5471214.76
6,8,S6M8,1.205,5501760.90
6,9,S6M9,1.546,5521623.61
6,10,S6M10,2.103,5568541.56
7,1,S7M1,0.911,7334640.49
7,2,S7M2,0.997,7350330.10
7,3,S7M3,1.105,7299430.73
7,4,S7M4,1.295,7269448.03
7,5,S7M5,1.432,7288084.35
7,6,S7M6,1.452,7310744.02
7,7,S7M7,1.450,7229591.65
7,8,S7M8,1.428,7349879.18
7,9,S7M9,1.404,7364081.90
7,10,S7M10,1.568,7338393.43
8,1,S8M1,0.932,10373492.94
8,2,S8M2,1.050,10348934.00
8,3,S8M3,0.583,10235216.27
8,4,S8M4,1.297,10370209.21
8,5,S8M5,1.381,10389980.18
8,6,S8M6,0.818,10346058.44
8,7,S8M7,1.230,10402930.58
8,8,S8M8,1.215,10310954.02
8,9,S8M9,1.494,10410001.71
8,10,S8M10,1.576,10502823.16
9,1,S9M1,1.105,17343186.14
9,2,S9M2,0.982,17370019.87
9,3,S9M3,0.789,17165362.13
9,4,S9M4,0.894,17226543.26
9,5,S9M5,0.792,17408810.60
9,6,S9M6,0.900,17042217.00
9,7,S9M7,1.251,16877855.01
9,8,S9M8,1.426,17010456.78
9,9,S9M9,1.114,17293278.79
9,10,S9M10,2.199,17204483.68
10,1,S10M1,0.560,83759294.14
10,2,S10M2,0.957,72835912.05
10,3,S10M3,0.916,61417398.06
10,4,S10M4,1.067,59091756.18
10,5,S10M5,1.093,58656334.84
10,6,S10M6,0.531,71169744.26
10,7,S10M7,0.816,87032509.97
10,8,S10M8,0.920,88196703.01
10,9,S10M9,1.435,117014791.10
10,10,S10M10,1.408,166673452.73
