Trdmnt,bm_tercile,beta_hml_bin,portfolio,vw_return,n_stocks
1994-07,1,1,BM1_BHML1,-0.31863729508689553,5
1994-07,1,2,BM1_BHML2,-0.10695981196225701,4
1994-07,1,3,BM1_BHML3,-0.35503419670983555,2
1994-07,2,1,BM2_BHML1,-0.15382888791159052,2
1994-07,2,2,BM2_BHML2,-0.18862936764081334,5
1994-07,2,3,BM2_BHML3,-0.213286815659006,6
1994-07,3,1,BM3_BHML1,-0.22766367643749752,3
1994-07,3,2,BM3_BHML2,-0.197158,1
1994-07,3,3,BM3_BHML3,-0.09804018182802382,2
1994-08,1,1,BM1_BHML1,1.2552084475068253,5
1994-08,1,2,BM1_BHML2,0.6461102198284107,4
1994-08,1,3,BM1_BHML3,1.2850937380607816,2
1994-08,2,1,BM2_BHML1,0.5617149319286342,2
1994-08,2,2,BM2_BHML2,0.7850786218372472,5
1994-08,2,3,BM2_BHML3,0.8531402643355581,6
1994-08,3,1,BM3_BHML1,1.302753048394816,3
1994-08,3,2,BM3_BHML2,0.628319,1
1994-08,3,3,BM3_BHML3,0.5968039018142056,2
1994-09,1,1,BM1_BHML1,0.0738059666058131,5
1994-09,1,2,BM1_BHML2,0.09912059335770745,4
1994-09,1,3,BM1_BHML3,-0.1022796605446485,2
1994-09,2,1,BM2_BHML1,0.020212712529328672,2
1994-09,2,2,BM2_BHML2,0.12013779004284832,5
1994-09,2,3,BM2_BHML3,0.16718840614783093,6
1994-09,3,1,BM3_BHML1,0.11556936438912689,3
1994-09,3,2,BM3_BHML2,0.107337,1
1994-09,3,3,BM3_BHML3,0.13050724757507096,2
1994-10,1,1,BM1_BHML1,-0.2067141659656409,5
1994-10,1,2,BM1_BHML2,-0.21374125382656867,4
1994-10,1,3,BM1_BHML3,-0.24179903880070547,2
1994-10,2,1,BM2_BHML1,-0.22652452790763347,2
1994-10,2,2,BM2_BHML2,-0.17755778090680893,5
1994-10,2,3,BM2_BHML3,-0.1878438841208193,6
1994-10,3,1,BM3_BHML1,-0.18940530669534308,3
1994-10,3,2,BM3_BHML2,-0.23190199999999997,1
1994-10,3,3,BM3_BHML3,-0.22893242510627215,2
1994-11,1,1,BM1_BHML1,0.0730727905812857,5
1994-11,1,2,BM1_BHML2,0.013679534489298609,4
1994-11,1,3,BM1_BHML3,0.25331452965806,2
1994-11,2,1,BM2_BHML1,-0.019083311678089403,2
1994-11,2,2,BM2_BHML2,0.006453399926552878,5
1994-11,2,3,BM2_BHML3,0.011849071334732461,6
1994-11,3,1,BM3_BHML1,-0.0010591527271730959,3
1994-11,3,2,BM3_BHML2,0.00639,1
1994-11,3,3,BM3_BHML3,-0.002079967337378642,2
1994-12,1,1,BM1_BHML1,-0.05634658801455675,5
1994-12,1,2,BM1_BHML2,-0.057265830928203657,4
1994-12,1,3,BM1_BHML3,-0.060411592427616935,2
1994-12,2,1,BM2_BHML1,-0.04724678743955273,2
1994-12,2,2,BM2_BHML2,-0.043318323906088876,5
1994-12,2,3,BM2_BHML3,-0.07840610136331025,6
1994-12,3,1,BM3_BHML1,-0.07274145992326003,3
1994-12,3,2,BM3_BHML2,-0.039683,1
1994-12,3,3,BM3_BHML3,-0.04691052906952896,2
1995-01,1,1,BM1_BHML1,-0.13412862892055033,5
1995-01,1,2,BM1_BHML2,-0.039794237712051164,4
1995-01,1,3,BM1_BHML3,-0.09866666962962964,2
1995-01,2,1,BM2_BHML1,-0.08364203140628826,2
1995-01,2,2,BM2_BHML2,-0.1033069139756242,5
1995-01,2,3,BM2_BHML3,-0.12413782907707546,6
1995-01,3,1,BM3_BHML1,-0.14343384480023408,3
1995-01,3,2,BM3_BHML2,-0.08595,1
1995-01,3,3,BM3_BHML3,-0.06109566361302839,2
1995-02,1,1,BM1_BHML1,-0.05529505785959797,5
1995-02,1,2,BM1_BHML2,-0.002733253130731187,4
1995-02,1,3,BM1_BHML3,-0.03002375213675214,2
1995-02,2,1,BM2_BHML1,-0.0065907524602967175,2
1995-02,2,2,BM2_BHML2,-0.014825377404622782,5
1995-02,2,3,BM2_BHML3,0.0014728030833734487,6
1995-02,3,1,BM3_BHML1,3.389668228455933e-05,3
1995-02,3,2,BM3_BHML2,0.0,1
1995-02,3,3,BM3_BHML3,-0.012947681032487163,2
1995-03,1,1,BM1_BHML1,0.13647739505237086,5
1995-03,1,2,BM1_BHML2,0.04888997974363606,4
1995-03,1,3,BM1_BHML3,0.12076334297333935,2
1995-03,2,1,BM2_BHML1,0.0328035347389364,2
1995-03,2,2,BM2_BHML2,0.07712097871961851,5
1995-03,2,3,BM2_BHML3,0.08397796154396629,6
1995-03,3,1,BM3_BHML1,0.11565311021268046,3
1995-03,3,2,BM3_BHML2,0.018083,1
1995-03,3,3,BM3_BHML3,0.02159025025576671,2
1995-04,1,1,BM1_BHML1,-0.13694299030585685,5
1995-04,1,2,BM1_BHML2,-0.0922457857755474,4
1995-04,1,3,BM1_BHML3,-0.10487865709101907,2
1995-04,2,1,BM2_BHML1,-0.08756806775259236,2
