Trdmnt,size_tercile,bm_tercile,char_port,beta_hml_q5,portfolio,vw_excess_return,n_stocks
1994-07,1,1,SZ1BM1,1,SZ1BM1_BHML1,-0.389671,1
1994-07,1,1,SZ1BM1,2,SZ1BM1_BHML2,-0.44922,1
1994-07,1,1,SZ1BM1,3,SZ1BM1_BHML3,,0
1994-07,1,1,SZ1BM1,4,SZ1BM1_BHML4,-0.402311,1
1994-07,1,1,SZ1BM1,5,SZ1BM1_BHML5,,0
1994-07,1,2,SZ1BM2,1,SZ1BM2_BHML1,-0.25456,1
1994-07,1,2,SZ1BM2,2,SZ1BM2_BHML2,-0.242666,1
1994-07,1,2,SZ1BM2,3,SZ1BM2_BHML3,-0.315386,1
1994-07,1,2,SZ1BM2,4,SZ1BM2_BHML4,-0.20082,1
1994-07,1,2,SZ1BM2,5,SZ1BM2_BHML5,-0.187164,1
1994-07,1,3,SZ1BM3,1,SZ1BM3_BHML1,-0.32596,1
1994-07,1,3,SZ1BM3,2,SZ1BM3_BHML2,,0
1994-07,1,3,SZ1BM3,3,SZ1BM3_BHML3,,0
1994-07,1,3,SZ1BM3,4,SZ1BM3_BHML4,,0
1994-07,1,3,SZ1BM3,5,SZ1BM3_BHML5,,0
1994-07,2,1,SZ2BM1,1,SZ2BM1_BHML1,-0.2845754250191174,2
1994-07,2,1,SZ2BM1,2,SZ2BM1_BHML2,-0.338328,1
1994-07,2,1,SZ2BM1,3,SZ2BM1_BHML3,-0.391505,1
1994-07,2,1,SZ2BM1,4,SZ2BM1_BHML4,-0.366404,1
1994-07,2,1,SZ2BM1,5,SZ2BM1_BHML5,-0.361187,1
1994-07,2,2,SZ2BM2,1,SZ2BM2_BHML1,-0.33926,1
1994-07,2,2,SZ2BM2,2,SZ2BM2_BHML2,-0.393567,1
1994-07,2,2,SZ2BM2,3,SZ2BM2_BHML3,-0.313874,1
1994-07,2,2,SZ2BM2,4,SZ2BM2_BHML4,-0.228231,1
1994-07,2,2,SZ2BM2,5,SZ2BM2_BHML5,,0
