Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
1994-07,1,1,SZ1_BSMB1,-0.2260900133297857,3
1994-07,1,2,SZ1_BSMB2,-0.269967425758482,3
1994-07,1,3,SZ1_BSMB3,-0.37048460843065817,3
1994-07,2,1,SZ2_BSMB1,-0.219512,1
1994-07,2,2,SZ2_BSMB2,-0.2899631587203069,3
1994-07,2,3,SZ2_BSMB3,-0.3324272267940398,7
1994-07,3,1,SZ3_BSMB1,-0.13486902712314391,6
1994-07,3,2,SZ3_BSMB2,-0.0851851802064998,4
1994-07,3,3,SZ3_BSMB3,,0
1994-08,1,1,SZ1_BSMB1,1.0546808986853775,3
1994-08,1,2,SZ1_BSMB2,0.7326916364189758,3
1994-08,1,3,SZ1_BSMB3,1.9418948383522052,3
1994-08,2,1,SZ2_BSMB1,0.614583,1
1994-08,2,2,SZ2_BSMB2,1.0709585786153328,3
1994-08,2,3,SZ2_BSMB3,1.5977511341381292,7
1994-08,3,1,SZ3_BSMB1,0.5414142467546191,6
1994-08,3,2,SZ3_BSMB2,0.5819871160043729,4
1994-08,3,3,SZ3_BSMB3,,0
1994-09,1,1,SZ1_BSMB1,0.3467622361452984,3
1994-09,1,2,SZ1_BSMB2,0.13596445655085634,3
1994-09,1,3,SZ1_BSMB3,0.21525397347023106,3
1994-09,2,1,SZ2_BSMB1,0.288172,1
1994-09,2,2,SZ2_BSMB2,0.021466941252095428,3
1994-09,2,3,SZ2_BSMB3,0.00012877539780963918,7
1994-09,3,1,SZ3_BSMB1,0.06065365194556576,6
1994-09,3,2,SZ3_BSMB2,0.1316067960893611,4
1994-09,3,3,SZ3_BSMB3,,0
1994-10,1,1,SZ1_BSMB1,-0.09750437410834767,3
1994-10,1,2,SZ1_BSMB2,-0.20139084555156408,3
1994-10,1,3,SZ1_BSMB3,-0.15736210781683055,3
1994-10,2,1,SZ2_BSMB1,-0.22203700000000004,1
1994-10,2,2,SZ2_BSMB2,-0.24083036752857176,3
1994-10,2,3,SZ2_BSMB3,-0.1772441938714672,7
1994-10,3,1,SZ3_BSMB1,-0.22335821169937187,6
1994-10,3,2,SZ3_BSMB2,-0.22409679254638334,4
1994-10,3,3,SZ3_BSMB3,,0
1994-11,1,1,SZ1_BSMB1,-0.002077144747227116,3
1994-11,1,2,SZ1_BSMB2,-0.01564839068272879,3
1994-11,1,3,SZ1_BSMB3,0.05614203607015031,3
1994-11,2,1,SZ2_BSMB1,-0.023605,1
1994-11,2,2,SZ2_BSMB2,0.08659396795332247,3
1994-11,2,3,SZ2_BSMB3,0.07907672016015599,7
1994-11,3,1,SZ3_BSMB1,-0.004540054080968606,6
1994-11,3,2,SZ3_BSMB2,-0.002955748038869144,4
1994-11,3,3,SZ3_BSMB3,,0
1994-12,1,1,SZ1_BSMB1,-0.11070666623395611,3
1994-12,1,2,SZ1_BSMB2,-0.05828145683652175,3
1994-12,1,3,SZ1_BSMB3,-0.0352525244901584,3
1994-12,2,1,SZ2_BSMB1,-0.059341,1
1994-12,2,2,SZ2_BSMB2,-0.03590934469583601,3
1994-12,2,3,SZ2_BSMB3,-0.07502318148690669,7
1994-12,3,1,SZ3_BSMB1,-0.04808803008037755,6
1994-12,3,2,SZ3_BSMB2,-0.05179330729101247,4
1994-12,3,3,SZ3_BSMB3,,0
1995-01,1,1,SZ1_BSMB1,-0.12316244499917589,3
1995-01,1,2,SZ1_BSMB2,-0.10552988475696079,3
1995-01,1,3,SZ1_BSMB3,-0.16734670976486102,3
1995-01,2,1,SZ2_BSMB1,-0.093458,1
1995-01,2,2,SZ2_BSMB2,-0.07716727600282948,3
1995-01,2,3,SZ2_BSMB3,-0.14358000758094766,7
1995-01,3,1,SZ3_BSMB1,-0.08492338334311597,6
1995-01,3,2,SZ3_BSMB2,-0.04304338857949617,4
1995-01,3,3,SZ3_BSMB3,,0
1995-02,1,1,SZ1_BSMB1,0.01078540522062032,3
1995-02,1,2,SZ1_BSMB2,-0.007931175605591607,3
1995-02,1,3,SZ1_BSMB3,-0.03085413878175716,3
1995-02,2,1,SZ2_BSMB1,-0.015464,1
1995-02,2,2,SZ2_BSMB2,-0.02044113275293153,3
1995-02,2,3,SZ2_BSMB3,-0.047432542535518186,7
1995-02,3,1,SZ3_BSMB1,-0.0006426663480535931,6
1995-02,3,2,SZ3_BSMB2,0.00017915893610990626,4
1995-02,3,3,SZ3_BSMB3,,0
1995-03,1,1,SZ1_BSMB1,0.06567566360759602,3
1995-03,1,2,SZ1_BSMB2,0.0704431120603919,3
1995-03,1,3,SZ1_BSMB3,0.19139937170370758,3
1995-03,2,1,SZ2_BSMB1,0.073298,1
1995-03,2,2,SZ2_BSMB2,0.06749947667745042,3
1995-03,2,3,SZ2_BSMB3,0.16051207845524174,7
1995-03,3,1,SZ3_BSMB1,0.03545529857348747,6
1995-03,3,2,SZ3_BSMB2,0.0335013911141815,4
1995-03,3,3,SZ3_BSMB3,,0
1995-04,1,1,SZ1_BSMB1,-0.14815965508810675,3
1995-04,1,2,SZ1_BSMB2,-0.15715436317604942,3
1995-04,1,3,SZ1_BSMB3,-0.12382283202235692,3
1995-04,2,1,SZ2_BSMB1,-0.078049,1
1995-04,2,2,SZ2_BSMB2,-0.16504562204873793,3
1995-04,2,3,SZ2_BSMB3,-0.11442464622935052,7
1995-04,3,1,SZ3_BSMB1,-0.11921193159305785,6
1995-04,3,2,SZ3_BSMB2,-0.09349719034746104,4
1995-04,3,3,SZ3_BSMB3,,0
1995-05,1,1,SZ1_BSMB1,-0.011582978657216313,3
1995-05,1,2,SZ1_BSMB2,0.17136083713962208,3
1995-05,1,3,SZ1_BSMB3,0.20848612556714785,3
1995-05,2,1,SZ2_BSMB1,0.021164,1
1995-05,2,2,SZ2_BSMB2,0.17546644575562523,3
1995-05,2,3,SZ2_BSMB3,0.24911013398202161,7
1995-05,3,1,SZ3_BSMB1,0.04560562334400875,6
1995-05,3,2,SZ3_BSMB2,0.0250624535400997,4
1995-05,3,3,SZ3_BSMB3,,0
1995-06,1,1,SZ1_BSMB1,-0.0809019825662865,3
1995-06,1,2,SZ1_BSMB2,-0.08071098348457381,3
1995-06,1,3,SZ1_BSMB3,-0.11100655179585933,3
1995-06,2,1,SZ2_BSMB1,-0.101036,1
1995-06,2,2,SZ2_BSMB2,-0.09686590453542453,3
1995-06,2,3,SZ2_BSMB3,-0.1168915427941094,7
1995-06,3,1,SZ3_BSMB1,-0.08469842625857606,6
1995-06,3,2,SZ3_BSMB2,-0.07084970967100197,4
1995-06,3,3,SZ3_BSMB3,,0
1995-07,1,1,SZ1_BSMB1,0.02683525194120782,10
1995-07,1,2,SZ1_BSMB2,0.10740971860971008,7
1995-07,1,3,SZ1_BSMB3,0.0615141761643091,9
1995-07,2,1,SZ2_BSMB1,0.029523375582375586,13
1995-07,2,2,SZ2_BSMB2,0.054629361492038925,8
1995-07,2,3,SZ2_BSMB3,0.08789352677916988,10
1995-07,3,1,SZ3_BSMB1,0.01315356652137417,9
1995-07,3,2,SZ3_BSMB2,0.10169278546701695,18
1995-07,3,3,SZ3_BSMB3,0.05852474579632979,14
1995-08,1,1,SZ1_BSMB1,0.01856672848492229,10
1995-08,1,2,SZ1_BSMB2,-0.012788522534037497,7
1995-08,1,3,SZ1_BSMB3,-0.01857425419890473,9
1995-08,2,1,SZ2_BSMB1,0.04280240757885262,13
1995-08,2,2,SZ2_BSMB2,-0.010193147848254994,8
1995-08,2,3,SZ2_BSMB3,0.014087320698471533,10
1995-08,3,1,SZ3_BSMB1,0.0549163725061753,9
1995-08,3,2,SZ3_BSMB2,0.037008240690151406,18
1995-08,3,3,SZ3_BSMB3,-0.0022010963619477943,14
1995-09,1,1,SZ1_BSMB1,0.025575018088489075,10
1995-09,1,2,SZ1_BSMB2,0.002122546844088245,7
1995-09,1,3,SZ1_BSMB3,-0.038546737121534315,9
1995-09,2,1,SZ2_BSMB1,0.003917534046566579,13
1995-09,2,2,SZ2_BSMB2,-0.04555691814344417,8
1995-09,2,3,SZ2_BSMB3,-0.023702684157679215,10
1995-09,3,1,SZ3_BSMB1,-0.007615689814730457,9
1995-09,3,2,SZ3_BSMB2,-0.0172601403559967,18
1995-09,3,3,SZ3_BSMB3,0.007223878488558531,14
1995-10,1,1,SZ1_BSMB1,-0.009139174017013054,10
1995-10,1,2,SZ1_BSMB2,-0.016719341584887817,7
1995-10,1,3,SZ1_BSMB3,-0.007924141134379248,9
1995-10,2,1,SZ2_BSMB1,-0.01506274343415598,13
1995-10,2,2,SZ2_BSMB2,-0.009887768451939389,8
1995-10,2,3,SZ2_BSMB3,0.020571197172548294,10
1995-10,3,1,SZ3_BSMB1,-0.026880329144580672,9
1995-10,3,2,SZ3_BSMB2,-0.010499814824716949,18
1995-10,3,3,SZ3_BSMB3,-0.03949632755648474,14
1995-11,1,1,SZ1_BSMB1,-0.0395278728911891,10
1995-11,1,2,SZ1_BSMB2,-0.048742114843635886,7
1995-11,1,3,SZ1_BSMB3,-0.03619979172545498,9
1995-11,2,1,SZ2_BSMB1,-0.040359645872797736,13
1995-11,2,2,SZ2_BSMB2,-0.009119930974638566,8
1995-11,2,3,SZ2_BSMB3,-0.03357099550254349,10
1995-11,3,1,SZ3_BSMB1,-0.051168469647372004,9
1995-11,3,2,SZ3_BSMB2,-0.06808963903015612,18
1995-11,3,3,SZ3_BSMB3,-0.058952453864883334,14
1995-12,1,1,SZ1_BSMB1,-0.07797035537492435,10
1995-12,1,2,SZ1_BSMB2,-0.11227524268953895,7
1995-12,1,3,SZ1_BSMB3,-0.09239048121154515,9
1995-12,2,1,SZ2_BSMB1,-0.0780707695037503,13
1995-12,2,2,SZ2_BSMB2,-0.12162617694204383,8
1995-12,2,3,SZ2_BSMB3,-0.11622687044041928,10
1995-12,3,1,SZ3_BSMB1,-0.09671319049960929,9
1995-12,3,2,SZ3_BSMB2,-0.1326549036471938,18
1995-12,3,3,SZ3_BSMB3,-0.10249645319337562,14
1996-01,1,1,SZ1_BSMB1,-0.05463613825995335,10
1996-01,1,2,SZ1_BSMB2,-0.044918217263290504,7
1996-01,1,3,SZ1_BSMB3,-0.0704331002763969,9
1996-01,2,1,SZ2_BSMB1,-0.03270252221452519,13
1996-01,2,2,SZ2_BSMB2,-0.07048266044460373,8
1996-01,2,3,SZ2_BSMB3,-0.08063345560929935,10
1996-01,3,1,SZ3_BSMB1,-0.052010728632518204,9
1996-01,3,2,SZ3_BSMB2,-0.03276415303867827,18
1996-01,3,3,SZ3_BSMB3,-0.09945777580536516,14
1996-02,1,1,SZ1_BSMB1,0.013178963954553287,10
1996-02,1,2,SZ1_BSMB2,0.0370449822194836,7
1996-02,1,3,SZ1_BSMB3,0.06041743686577999,9
1996-02,2,1,SZ2_BSMB1,0.02629385561200509,13
1996-02,2,2,SZ2_BSMB2,0.03661802493346935,8
1996-02,2,3,SZ2_BSMB3,0.022701838556045486,10
1996-02,3,1,SZ3_BSMB1,0.10659248489901009,9
1996-02,3,2,SZ3_BSMB2,0.021093491113372196,18
1996-02,3,3,SZ3_BSMB3,0.04590754336183151,14
1996-03,1,1,SZ1_BSMB1,-0.030222946387262542,10
1996-03,1,2,SZ1_BSMB2,-0.0038608075937749714,7
1996-03,1,3,SZ1_BSMB3,-0.004819021613456625,9
1996-03,2,1,SZ2_BSMB1,-0.014690851367908188,13
1996-03,2,2,SZ2_BSMB2,-0.010481240525681947,8
1996-03,2,3,SZ2_BSMB3,0.016789635202397866,10
1996-03,3,1,SZ3_BSMB1,0.00156956320447072,9
1996-03,3,2,SZ3_BSMB2,-0.0010739159538623987,18
1996-03,3,3,SZ3_BSMB3,0.002377466229034318,14
1996-04,1,1,SZ1_BSMB1,0.4513188860383004,10
1996-04,1,2,SZ1_BSMB2,0.3553778739541092,7
1996-04,1,3,SZ1_BSMB3,0.2081410039254893,9
1996-04,2,1,SZ2_BSMB1,0.3915751600654739,13
1996-04,2,2,SZ2_BSMB2,0.2538120346313717,8
1996-04,2,3,SZ2_BSMB3,0.21249763107350148,10
1996-04,3,1,SZ3_BSMB1,0.6062132963010549,9
1996-04,3,2,SZ3_BSMB2,0.21236360008083405,18
1996-04,3,3,SZ3_BSMB3,0.22576061120831983,14
1996-05,1,1,SZ1_BSMB1,-0.1317224134951967,10
1996-05,1,2,SZ1_BSMB2,-0.11075045168270642,7
1996-05,1,3,SZ1_BSMB3,-0.08274028491187548,9
1996-05,2,1,SZ2_BSMB1,-0.012987762827704068,13
1996-05,2,2,SZ2_BSMB2,-0.04850773003460515,8
1996-05,2,3,SZ2_BSMB3,-0.097910708816233,10
1996-05,3,1,SZ3_BSMB1,0.2590617400387112,9
