portfolio,avg_monthly_return_pct,post_ranking_beta,avg_ln_me,avg_ln_be_me,avg_size
B1,1.644,0.8381,22.7538,-1.1485,34661285809.01
B2,1.166,0.9449,22.4591,-0.9960,16784521806.60
B3,1.501,0.7769,22.3576,-0.9813,12960392924.82
B4,1.394,0.9048,22.2897,-0.9713,10964675558.22
B5,0.944,0.7733,22.2870,-0.9712,12166898788.44
B6,0.950,0.9287,22.2557,-0.9948,9769454986.44
B7,0.731,0.7896,22.2904,-1.0240,11162494009.18
B8,0.888,0.9999,22.3240,-1.0539,10381475849.09
B9,1.109,1.2465,22.3915,-1.1316,12317927561.15
B10,0.836,1.1280,22.5348,-1.2792,14387455141.06
