portfolio,avg_monthly_return_pct,post_ranking_beta,avg_ln_me,avg_ln_be_me,avg_size
S1,2.711,1.1197,14.1094,5.6077,1580335.20
S2,1.981,0.9786,14.4992,5.7964,2254451.02
S3,1.716,0.9875,14.7260,5.8535,2827071.00
S4,1.401,1.0374,14.9316,5.8732,3481846.74
S5,1.325,0.9940,15.1402,5.8894,4314567.05
S6,1.223,0.9665,15.3669,5.8569,5460828.63
S7,1.143,0.9860,15.6356,5.8590,7258144.68
S8,0.913,0.9180,15.9639,5.8283,10306571.20
S9,0.953,0.9624,16.4318,5.8010,16999257.18
S10,0.815,0.9399,17.5542,5.8606,85548970.60
