size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,1.929133738324715,378
1,2,1.7630440228921165,390
1,3,2.0104502333203484,402
1,4,2.59083997010518,402
1,5,2.223854353859615,402
2,1,0.9172037319185435,390
2,2,1.593081572765449,402
2,3,1.2872135649486416,390
2,4,1.5350242740253417,390
2,5,1.6358056875737363,402
3,1,0.807026239146464,402
3,2,0.837000818615151,390
3,3,1.1395087227079284,390
3,4,1.2030339253857678,402
3,5,1.302184718797938,390
4,1,0.6922568380126474,402
4,2,0.700649347646922,390
4,3,0.9482789936001419,402
4,4,1.0937277880958007,378
4,5,0.9767768457705044,390
5,1,0.4735907153810946,390
5,2,0.7354866641360288,390
5,3,0.5711390254326063,402
5,4,0.7248505757908774,390
5,5,0.7948041607829474,390
