size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,1.8831299042181904,378
1,2,1.7747838496667925,390
1,3,1.870346991301796,390
1,4,2.537488224859859,402
1,5,2.2129042825588026,402
2,1,1.0199512304867915,378
2,2,1.2620705328796695,390
2,3,1.4134094679910756,402
2,4,1.6732148866788952,378
2,5,1.6154293817980017,390
3,1,0.6884452708590452,402
3,2,1.1580236873379526,402
3,3,1.157695423494703,390
3,4,1.2545827176530657,390
3,5,1.4849491150752414,390
4,1,0.6296463161016168,402
4,2,0.4965366813184802,390
4,3,0.6634437933372568,390
4,4,0.8903435069492377,390
4,5,0.975410285324794,390
5,1,0.4565538514405472,402
5,2,0.5666505109167528,402
5,3,0.5221150935629687,402
5,4,0.702679764373601,402
5,5,0.747852655956165,390
