portfolio,size_quintile,bm_quintile,alpha_pct,nw12_t_alpha,beta_mkt,nw12_t_mkt,r2,n_months
S1B1,1,1,0.758239856826908,2.191489069004749,1.2306850047652047,10.716278207237405,0.7829880324637396,378
S1B2,1,2,1.0742428537322029,3.200840729319183,1.062138795642489,37.506821645373165,0.7525701258242462,390
S1B3,1,3,1.2086751601256154,3.6218027330137916,1.0032065588658983,18.437605643117767,0.7180066954806599,390
S1B4,1,4,1.825667252627524,3.902332082376196,1.0559548041908666,25.65008262758003,0.705032906585144,402
S1B5,1,5,1.4740776531304904,3.9342946108472487,1.0960164974660629,39.97921194411489,0.7508641057347355,402
S2B1,2,1,0.03219251467097041,0.1046829408495201,1.0806565874591871,33.30948383235014,0.7960514473764371,378
S2B2,2,2,0.5354214587244358,2.1155329950820656,1.1017230639704545,28.856868463243867,0.8187543809500754,390
S2B3,2,3,0.7557882836144366,2.6952071464431544,0.9755518256260999,12.35472421147841,0.7670595608301268,402
S2B4,2,4,0.6786225042870457,2.9614845480655916,1.0881329545958573,30.79975670244586,0.8112808867319229,378
S2B5,2,5,0.8955041263141247,3.582887926531415,1.0915286160977986,40.254201670810524,0.8063194825582843,390
S3B1,3,1,-0.06261443427304746,-0.23118038885819361,1.114163722067955,20.51840781733109,0.808992900424065,402
S3B2,3,2,0.4482834776661376,1.6018342097329614,1.0528680853277361,49.52585278341812,0.8155997665311989,402
S3B3,3,3,0.4430376438712901,2.1487839339172443,1.0835422305772122,21.178221640524512,0.8290349987917044,390
S3B4,3,4,0.5803353116687496,2.617465609653107,1.0222732601135613,27.506007637769407,0.8353175100081681,390
S3B5,3,5,0.5644541477062922,2.520715359721146,0.9992368835058978,15.462215544949553,0.7849601856893834,390
S4B1,4,1,-0.13004254522426523,-0.5260104833994464,1.1269646921073306,20.142836365415388,0.8205751648228023,402
S4B2,4,2,-0.09455784984647589,-0.49946254738623114,0.8961994188574639,13.1267447526066,0.8224133835723619,390
S4B3,4,3,0.01383827217962168,0.09196811628348382,0.984911989289925,18.684313841318875,0.8523016873931292,390
S4B4,4,4,0.2672946341099067,1.4962728234700424,0.9446476127226779,10.412751665766486,0.8323951975206619,390
S4B5,4,5,0.3388993933842223,1.931185164896746,0.9650583136496554,13.06300650818332,0.842332263396841,390
S5B1,5,1,-0.24428924447467856,-1.0618174801520577,1.0396696121424915,6.191155434308358,0.7825219997073087,402
S5B2,5,2,0.011875819331877684,0.057705921367242674,0.8229836204254845,11.781648583931736,0.7927408661282981,402
S5B3,5,3,-0.10352576159740412,-0.6069738866275896,0.928110427307058,22.299216429585826,0.874269724898935,402
S5B4,5,4,0.10283774539210062,0.4954511464123512,0.8898389994223486,13.290567019587522,0.8089702569542099,402
S5B5,5,5,0.14911739373111976,0.5531479425900752,0.9077840612025766,34.160571871105326,0.8171851001027037,390
