"Markettype","Trdmnt","Cmretwdtl","Cmnstkcal","Cmmvttl"
"5","1990-12","","6","2082551.36"
"15","1990-12","","6","2082551.36"
"21","1990-12","","6","2082551.36"
"31","1990-12","","6","2082551.36"
"63","1990-12","","6","2082551.36"
"37","1990-12","","6","2082551.36"
"47","1990-12","","6","2082551.36"
"53","1990-12","","6","2082551.36"
"69","1990-12","","6","2082551.36"
"79","1990-12","","6","2082551.36"
"85","1990-12","","6","2082551.36"
"95","1990-12","","6","2082551.36"
"101","1990-12","","6","2082551.36"
"111","1990-12","","6","2082551.36"
"117","1990-12","","6","2082551.36"
"127","1990-12","","6","2082551.36"
"33","1990-12","","6","2082551.36"
"5","1991-01","0.040097","10","4570745.48"
"15","1991-01","0.040097","10","4570745.48"
"21","1991-01","0.040097","10","4570745.48"
"31","1991-01","0.040097","10","4570745.48"
"63","1991-01","0.040097","10","4570745.48"
"37","1991-01","0.040097","10","4570745.48"
"47","1991-01","0.040097","10","4570745.48"
"53","1991-01","0.040097","10","4570745.48"
"69","1991-01","0.040097","10","4570745.48"
"79","1991-01","0.040097","10","4570745.48"
"85","1991-01","0.040097","10","4570745.48"
"95","1991-01","0.040097","10","4570745.48"
"101","1991-01","0.040097","10","4570745.48"
"111","1991-01","0.040097","10","4570745.48"
"117","1991-01","0.040097","10","4570745.48"
"127","1991-01","0.040097","10","4570745.48"
"33","1991-01","0.040097","7","2340955.86"
"20","1991-01","","3","2229789.62"
"5","1991-02","0.006360","10","4412147.41"
"15","1991-02","0.006360","10","4412147.41"
"21","1991-02","0.006360","10","4412147.41"
"31","1991-02","0.006360","10","4412147.41"
"63","1991-02","0.006360","10","4412147.41"
"37","1991-02","0.006360","10","4412147.41"
"47","1991-02","0.006360","10","4412147.41"
"53","1991-02","0.006360","10","4412147.41"
"69","1991-02","0.006360","10","4412147.41"
"79","1991-02","0.006360","10","4412147.41"
"85","1991-02","0.006360","10","4412147.41"
"95","1991-02","0.006360","10","4412147.41"
"101","1991-02","0.006360","10","4412147.41"
"111","1991-02","0.006360","10","4412147.41"
"117","1991-02","0.006360","10","4412147.41"
"127","1991-02","0.006360","10","4412147.41"
"33","1991-02","0.024017","7","2209509.71"
"20","1991-02","-0.012176","3","2202637.70"
"5","1991-03","-0.088522","10","3837938.27"
"15","1991-03","-0.088522","10","3837938.27"
"21","1991-03","-0.088522","10","3837938.27"
"31","1991-03","-0.088522","10","3837938.27"
"63","1991-03","-0.088522","10","3837938.27"
"37","1991-03","-0.088522","10","3837938.27"
"47","1991-03","-0.088522","10","3837938.27"
"53","1991-03","-0.088522","10","3837938.27"
"69","1991-03","-0.088522","10","3837938.27"
"79","1991-03","-0.088522","10","3837938.27"
"85","1991-03","-0.088522","10","3837938.27"
"95","1991-03","-0.088522","10","3837938.27"
"101","1991-03","-0.088522","10","3837938.27"
"111","1991-03","-0.088522","10","3837938.27"
"117","1991-03","-0.088522","10","3837938.27"
"127","1991-03","-0.088522","10","3837938.27"
"33","1991-03","-0.051003","7","1913756.76"
"20","1991-03","-0.126419","3","1924181.51"
"5","1991-04","-0.050150","11","5763950.42"
"15","1991-04","-0.050150","11","5763950.42"
"21","1991-04","-0.050150","11","5763950.42"
"31","1991-04","-0.050150","11","5763950.42"
"63","1991-04","-0.050150","11","5763950.42"
"37","1991-04","-0.050150","11","5763950.42"
"47","1991-04","-0.050150","11","5763950.42"
"53","1991-04","-0.050150","11","5763950.42"
"69","1991-04","-0.050150","11","5763950.42"
"79","1991-04","-0.050150","11","5763950.42"
"85","1991-04","-0.050150","11","5763950.42"
"95","1991-04","-0.050150","11","5763950.42"
"101","1991-04","-0.050150","11","5763950.42"
"111","1991-04","-0.050150","11","5763950.42"
"117","1991-04","-0.050150","11","5763950.42"
"127","1991-04","-0.050150","11","5763950.42"
"33","1991-04","0.015013","7","1942488.89"
"20","1991-04","-0.114961","4","3821461.53"
"5","1991-05","-0.037463","11","5548014.05"
"15","1991-05","-0.037463","11","5548014.05"
"21","1991-05","-0.037463","11","5548014.05"
"31","1991-05","-0.037463","11","5548014.05"
"63","1991-05","-0.037463","11","5548014.05"
"37","1991-05","-0.037463","11","5548014.05"
"47","1991-05","-0.037463","11","5548014.05"
"53","1991-05","-0.037463","11","5548014.05"
"69","1991-05","-0.037463","11","5548014.05"
"79","1991-05","-0.037463","11","5548014.05"
"85","1991-05","-0.037463","11","5548014.05"
"95","1991-05","-0.037463","11","5548014.05"
"101","1991-05","-0.037463","11","5548014.05"
"111","1991-05","-0.037463","11","5548014.05"
"117","1991-05","-0.037463","11","5548014.05"
"127","1991-05","-0.037463","11","5548014.05"
"33","1991-05","0.106617","7","2149592.25"
"20","1991-05","-0.110701","4","3398421.80"
"5","1991-06","-0.013921","12","6730880.54"
"15","1991-06","-0.013921","12","6730880.54"
"21","1991-06","-0.013921","12","6730880.54"
"31","1991-06","-0.013921","12","6730880.54"
"63","1991-06","-0.013921","12","6730880.54"
"37","1991-06","-0.013921","12","6730880.54"
"47","1991-06","-0.013921","12","6730880.54"
"53","1991-06","-0.013921","12","6730880.54"
"69","1991-06","-0.013921","12","6730880.54"
"79","1991-06","-0.013921","12","6730880.54"
"85","1991-06","-0.013921","12","6730880.54"
"95","1991-06","-0.013921","12","6730880.54"
"101","1991-06","-0.013921","12","6730880.54"
"111","1991-06","-0.013921","12","6730880.54"
"117","1991-06","-0.013921","12","6730880.54"
"127","1991-06","-0.013921","12","6730880.54"
"33","1991-06","0.202348","7","2584558.90"
"20","1991-06","-0.150717","5","4146321.64"
"5","1991-07","-0.038261","13","6695474.24"
"15","1991-07","-0.038261","13","6695474.24"
"21","1991-07","-0.038261","13","6695474.24"
"31","1991-07","-0.038261","13","6695474.24"
"63","1991-07","-0.038261","13","6695474.24"
"37","1991-07","-0.038261","13","6695474.24"
"47","1991-07","-0.038261","13","6695474.24"
"53","1991-07","-0.038261","13","6695474.24"
"69","1991-07","-0.038261","13","6695474.24"
"79","1991-07","-0.038261","13","6695474.24"
"85","1991-07","-0.038261","13","6695474.24"
"95","1991-07","-0.038261","13","6695474.24"
"101","1991-07","-0.038261","13","6695474.24"
"111","1991-07","-0.038261","13","6695474.24"
"117","1991-07","-0.038261","13","6695474.24"
"127","1991-07","-0.038261","13","6695474.24"
"33","1991-07","0.144743","7","2958655.64"
"20","1991-07","-0.152334","6","3736818.60"
"5","1991-08","0.000894","13","7247109.35"
"15","1991-08","0.000894","13","7247109.35"
"21","1991-08","0.000894","13","7247109.35"
"31","1991-08","0.000894","13","7247109.35"
"63","1991-08","0.000894","13","7247109.35"
"37","1991-08","0.000894","13","7247109.35"
"47","1991-08","0.000894","13","7247109.35"
"53","1991-08","0.000894","13","7247109.35"
"69","1991-08","0.000894","13","7247109.35"
"79","1991-08","0.000894","13","7247109.35"
"85","1991-08","0.000894","13","7247109.35"
"95","1991-08","0.000894","13","7247109.35"
"101","1991-08","0.000894","13","7247109.35"
"111","1991-08","0.000894","13","7247109.35"
"117","1991-08","0.000894","13","7247109.35"
"127","1991-08","0.000894","13","7247109.35"
"33","1991-08","0.234801","7","3695741.66"
"20","1991-08","-0.184304","6","3551367.69"
"5","1991-09","0.027168","13","7443999.88"
"15","1991-09","0.027168","13","7443999.88"
"21","1991-09","0.027168","13","7443999.88"
"31","1991-09","0.027168","13","7443999.88"
"63","1991-09","0.027168","13","7443999.88"
"37","1991-09","0.027168","13","7443999.88"
"47","1991-09","0.027168","13","7443999.88"
"53","1991-09","0.027168","13","7443999.88"
"69","1991-09","0.027168","13","7443999.88"
"79","1991-09","0.027168","13","7443999.88"
"85","1991-09","0.027168","13","7443999.88"
"95","1991-09","0.027168","13","7443999.88"
"101","1991-09","0.027168","13","7443999.88"
"111","1991-09","0.027168","13","7443999.88"
"117","1991-09","0.027168","13","7443999.88"
"127","1991-09","0.027168","13","7443999.88"
"33","1991-09","0.126685","7","4163941.42"
"20","1991-09","-0.076395","6","3280058.46"
"5","1991-10","0.544793","13","11499443.05"
"15","1991-10","0.544793","13","11499443.05"
"21","1991-10","0.544793","13","11499443.05"
"31","1991-10","0.544793","13","11499443.05"
"63","1991-10","0.544793","13","11499443.05"
"37","1991-10","0.544793","13","11499443.05"
"47","1991-10","0.544793","13","11499443.05"
"53","1991-10","0.544793","13","11499443.05"
"69","1991-10","0.544793","13","11499443.05"
"79","1991-10","0.544793","13","11499443.05"
"85","1991-10","0.544793","13","11499443.05"
"95","1991-10","0.544793","13","11499443.05"
"101","1991-10","0.544793","13","11499443.05"
"111","1991-10","0.544793","13","11499443.05"
"117","1991-10","0.544793","13","11499443.05"
"127","1991-10","0.544793","13","11499443.05"
"33","1991-10","0.208517","7","5032192.88"
"20","1991-10","0.971687","6","6467250.17"
"5","1991-11","0.164226","13","13387950.49"
"15","1991-11","0.164226","13","13387950.49"
"21","1991-11","0.164226","13","13387950.49"
"31","1991-11","0.164226","13","13387950.49"
"63","1991-11","0.164226","13","13387950.49"
"37","1991-11","0.164226","13","13387950.49"
"47","1991-11","0.164226","13","13387950.49"
"53","1991-11","0.164226","13","13387950.49"
"69","1991-11","0.164226","13","13387950.49"
"79","1991-11","0.164226","13","13387950.49"
"85","1991-11","0.164226","13","13387950.49"
"95","1991-11","0.164226","13","13387950.49"
"101","1991-11","0.164226","13","13387950.49"
"111","1991-11","0.164226","13","13387950.49"
"117","1991-11","0.164226","13","13387950.49"
"127","1991-11","0.164226","13","13387950.49"
"33","1991-11","0.179662","7","5936291.48"
"20","1991-11","0.152214","6","7451659.01"
"5","1991-12","0.137910","13","15234292.60"
"15","1991-12","0.137910","13","15234292.60"
"21","1991-12","0.137910","13","15234292.60"
"31","1991-12","0.137910","13","15234292.60"
"63","1991-12","0.137910","13","15234292.60"
"37","1991-12","0.137910","13","15234292.60"
"47","1991-12","0.137910","13","15234292.60"
"53","1991-12","0.137910","13","15234292.60"
"69","1991-12","0.137910","13","15234292.60"
"79","1991-12","0.137910","13","15234292.60"
"85","1991-12","0.137910","13","15234292.60"
"95","1991-12","0.137910","13","15234292.60"
"101","1991-12","0.137910","13","15234292.60"
"111","1991-12","0.137910","13","15234292.60"
"117","1991-12","0.137910","13","15234292.60"
"127","1991-12","0.137910","13","15234292.60"
"33","1991-12","0.193024","7","7082143.00"
"20","1991-12","0.094004","6","8152149.60"
"5","1992-01","0.060342","14","16328165.63"
"15","1992-01","0.060342","14","16328165.63"
"21","1992-01","0.060342","14","16328165.63"
"31","1992-01","0.060342","14","16328165.63"
"63","1992-01","0.060342","14","16328165.63"
"37","1992-01","0.060342","14","16328165.63"
"47","1992-01","0.060342","14","16328165.63"
"53","1992-01","0.060342","14","16328165.63"
"69","1992-01","0.060342","14","16328165.63"
"79","1992-01","0.060342","14","16328165.63"
"85","1992-01","0.060342","14","16328165.63"
"95","1992-01","0.060342","14","16328165.63"
