Stkcd,Trdmnt,Clsdt,Mclsprc,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype
832317,2020-07,31,14.760,1053146.66,2337098.40,,,64
832317,2020-08,31,14.740,1051719.64,2333931.60,-0.001355,-0.001355,64
832317,2020-09,30,13.850,988216.89,2193009.00,-0.060380,-0.060380,64
832317,2020-10,30,13.600,970379.04,2153424.00,-0.018051,-0.018051,64
832317,2020-11,30,14.100,1006054.74,2232594.00,0.036765,0.036765,64
832317,2020-12,31,16.580,1183006.21,2625277.20,0.175887,0.175887,64
832317,2021-01,29,19.900,1419892.86,3150966.00,0.200241,0.200241,64
832317,2021-02,26,17.890,1339961.00,2832702.60,-0.101005,-0.101005,64
832317,2021-03,31,17.650,1321985.00,2794701.00,-0.013415,-0.013415,64
832317,2021-04,30,17.820,1334718.00,2821618.80,0.009632,0.009632,64
832317,2021-05,31,17.900,1340710.00,2834286.00,0.004489,0.004489,64
832317,2021-06,30,14.060,1579641.00,3339390.60,0.190024,0.189385,64
832317,2021-07,30,13.860,1557171.00,3291888.60,-0.014225,-0.014225,64
832317,2021-08,31,21.810,2450353.50,5180093.10,0.573593,0.573593,64
832317,2021-09,30,24.740,2779539.00,5875997.40,0.134342,0.134342,64
832317,2021-10,20,21.880,2458218.00,5196718.80,-0.115602,-0.115602,64
833874,2020-07,31,15.700,243137.77,1045620.00,,,64
833874,2020-08,31,13.140,203492.37,875124.00,-0.163057,-0.163057,64
833874,2020-09,30,11.570,179178.60,770562.00,-0.119482,-0.119482,64
833874,2020-10,30,12.660,196058.86,843156.00,0.094209,0.094209,64
833874,2020-11,30,12.390,191877.51,825174.00,-0.021327,-0.021327,64
833874,2020-12,31,11.890,187106.77,791874.00,-0.040355,-0.040355,64
833874,2021-01,29,10.590,166649.34,705294.00,-0.109336,-0.109336,64
833874,2021-02,26,11.060,184149.00,736596.00,0.044381,0.044381,64
833874,2021-03,31,13.720,228438.00,913752.00,0.240506,0.240506,64
833874,2021-04,30,14.340,238761.00,955044.00,0.045190,0.045190,64
833874,2021-05,31,8.980,224275.50,897102.00,-0.026110,-0.025802,64
833874,2021-06,30,10.170,253995.75,1015983.00,0.132517,0.132517,64
833874,2021-07,30,10.050,250998.75,1003995.00,-0.011799,-0.011799,64
833874,2021-08,31,17.150,428321.25,1713285.00,0.706468,0.706468,64
833874,2021-09,30,19.240,480519.00,1922076.00,0.121866,0.121866,64
833874,2021-10,29,18.770,468780.75,1875123.00,-0.024428,-0.024428,64
833874,2021-11,05,20.130,502746.75,2010987.00,0.072456,0.072456,64
833994,2020-07,31,43.740,1389182.40,3020247.00,,,64
833994,2020-08,31,45.950,1459372.00,3172847.50,0.050526,0.050526,64
833994,2020-09,30,42.400,1346624.00,2927720.00,-0.077258,-0.077258,64
833994,2020-10,30,49.400,1568944.00,3411070.00,0.165094,0.165094,64
833994,2020-11,30,48.800,1549888.00,3369640.00,-0.012146,-0.012146,64
833994,2020-12,31,48.490,1540042.40,3348234.50,-0.006352,-0.006352,64
833994,2021-01,29,58.800,1815419.07,4060140.00,0.212621,0.212621,64
833994,2021-02,26,53.420,1756154.40,3688651.00,-0.091497,-0.091497,64
833994,2021-03,31,65.780,2162482.90,4542109.00,0.231374,0.231374,64
833994,2021-04,30,63.980,2103308.85,4417819.00,-0.027364,-0.027364,64
833994,2021-05,31,30.320,1794157.29,3768472.80,-0.139260,-0.139142,64
833994,2021-06,30,34.100,2017835.21,4238289.00,0.124670,0.124670,64
833994,2021-07,30,32.220,1906587.99,4004623.80,-0.055132,-0.055132,64
833994,2021-08,31,35.530,2491181.22,4416023.70,0.102731,0.102731,64
833994,2021-09,30,34.410,2412652.57,4276818.90,-0.031523,-0.031523,64
833994,2021-10,29,35.470,2486974.33,4408566.30,0.030805,0.030805,64
833994,2021-11,03,32.900,2306779.12,4089141.00,-0.072456,-0.072456,64
920000,2020-12,31,7.200,185097.60,557784.00,,,64
920000,2021-01,29,7.320,173500.26,571503.30,0.016667,0.016667,64
920000,2021-02,26,7.120,168759.81,555888.45,-0.027322,-0.027322,64
920000,2021-03,31,7.140,169233.86,557449.94,0.002809,0.002809,64
920000,2021-04,30,7.830,186684.59,611321.15,0.096639,0.096639,64
920000,2021-05,31,7.520,179293.50,587118.14,-0.039591,-0.039591,64
920000,2021-06,30,6.490,193782.74,608042.03,0.053561,0.052926,64
920000,2021-07,30,6.070,206604.98,568692.62,-0.064715,-0.064715,64
920000,2021-08,31,5.890,200478.31,551828.59,-0.029654,-0.029654,64
920000,2021-09,30,10.000,340370.65,936890.65,0.697793,0.697793,64
920000,2021-10,29,8.150,277402.08,763565.88,-0.185000,-0.185000,64
920000,2021-11,30,8.540,290676.54,800104.62,0.047853,0.047853,64
920000,2021-12,31,9.460,321990.63,886298.55,0.107728,0.107728,64
920000,2022-01,28,8.150,282065.18,763565.88,-0.138478,-0.138478,64
920000,2022-02,28,7.150,247455.96,669876.81,-0.122699,-0.122699,64
920000,2022-03,31,6.310,218261.68,608088.80,-0.117483,-0.117483,64
920000,2022-04,29,5.320,184017.77,512683.43,-0.156894,-0.156894,64
920000,2022-05,31,5.320,184017.77,512683.43,0.000000,0.000000,64
920000,2022-06,30,5.690,196816.00,548339.98,0.082143,0.081767,64
920000,2022-07,29,5.340,184709.56,514610.81,-0.061511,-0.061511,64
920000,2022-08,31,5.090,176869.59,490518.54,-0.046816,-0.046816,64
920000,2022-09,30,4.970,172699.78,478954.25,-0.023575,-0.023576,64
920000,2022-10,31,5.260,182776.83,506901.28,0.058350,0.058350,64
