Stkcd,Trdmnt,Clsdt,Mclsprc,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype
900901,1992-02,28,82.000,82000.00,82000.00,,,2
900901,1992-03,31,74.000,74000.00,74000.00,-0.097561,-0.097561,2
900901,1992-04,30,80.000,80000.00,80000.00,0.081081,0.081081,2
900901,1992-05,29,89.000,89000.00,89000.00,0.112500,0.112500,2
900901,1992-06,30,82.000,82000.00,82000.00,-0.078652,-0.078652,2
900901,1992-07,31,70.000,70000.00,70000.00,-0.146341,-0.146341,2
900901,1992-08,28,58.000,58000.00,58000.00,-0.171429,-0.171429,2
900901,1992-09,30,54.000,54000.00,54000.00,-0.068966,-0.068966,2
900901,1992-10,30,47.500,47500.00,47500.00,-0.120370,-0.120370,2
900901,1992-11,30,48.000,48000.00,48000.00,0.010526,0.010526,2
900901,1992-12,31,0.490,49000.00,49000.00,0.020833,0.020833,2
900901,1993-01,29,0.600,60000.00,60000.00,0.224490,0.224490,2
900901,1993-02,26,0.610,61000.00,61000.00,0.016667,0.016667,2
900901,1993-03,31,0.440,48400.00,48400.00,-0.149228,0.121311,2
900901,1993-04,30,0.380,41800.00,41800.00,-0.136364,-0.136364,2
900901,1993-05,31,0.290,31900.00,31900.00,-0.236842,-0.236842,2
900901,1993-06,30,0.300,33000.00,33000.00,0.034483,0.034483,2
900901,1993-07,30,0.280,30800.00,30800.00,-0.066667,-0.066667,2
900901,1993-08,31,0.320,35200.00,35200.00,0.142857,0.142857,2
900901,1993-09,30,0.340,37400.00,37400.00,0.062500,0.062500,2
900901,1993-10,29,0.290,31900.00,31900.00,-0.147059,-0.147059,2
900901,1993-11,30,0.266,29260.00,29260.00,-0.082759,-0.082759,2
900901,1993-12,31,0.236,25960.00,25960.00,-0.112782,-0.112782,2
900901,1994-01,31,0.200,22000.00,22000.00,-0.152542,-0.152542,2
900901,1994-02,28,0.210,23100.00,23100.00,0.050000,0.050000,2
900901,1994-03,31,0.170,18700.00,18700.00,-0.190476,-0.190476,2
900901,1994-04,29,0.154,16940.00,16940.00,-0.094118,-0.094118,2
900901,1994-05,31,0.158,19118.00,19118.00,0.205439,0.777922,2
900901,1994-06,28,0.142,17182.00,17182.00,-0.101266,-0.101266,2
