Stkcd,Trdmnt,Clsdt,Mclsprc,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype
688001,2019-07,31,58.590,2123862.89,23494590.00,,,32
688001,2019-08,30,51.850,1879540.72,20791850.00,-0.115037,-0.115037,32
688001,2019-09,30,47.090,1706992.72,18883090.00,-0.091803,-0.091803,32
688001,2019-10,31,38.610,1399596.28,15482610.00,-0.180081,-0.180081,32
688001,2019-11,29,31.900,1156361.60,12791900.00,-0.173789,-0.173789,32
688001,2019-12,31,44.280,1605131.40,17756280.00,0.388088,0.388088,32
688001,2020-01,23,49.300,1895643.96,19769300.00,0.113369,0.113369,32
688001,2020-02,28,44.170,1698389.33,17712170.00,-0.104057,-0.104057,32
688001,2020-03,31,36.890,1418464.62,14792890.00,-0.164818,-0.164818,32
688001,2020-04,30,36.870,1417695.60,14784870.00,-0.000542,-0.000542,32
688001,2020-05,29,42.450,1632253.27,17022450.00,0.155290,0.155004,32
688001,2020-06,30,45.330,1742992.71,19450487.33,0.067845,0.067845,32
688001,2020-07,31,42.970,1652247.89,18437843.38,-0.052063,-0.052063,32
688001,2020-08,31,40.660,1563425.63,17446653.76,-0.053758,-0.053758,32
688001,2020-09,30,40.440,1554966.37,17352254.74,-0.005411,-0.005411,32
688001,2020-10,30,42.180,1621871.45,18098865.11,0.043027,0.043027,32
688001,2020-11,30,43.090,1656862.04,18489333.75,0.021574,0.021574,32
688001,2020-12,31,39.400,1514977.12,17278348.86,-0.085635,-0.085635,32
688001,2021-01,29,35.780,1375783.79,15690845.74,-0.091878,-0.091878,32
688001,2021-02,26,35.520,1365786.48,15576826.18,-0.007267,-0.007267,32
688001,2021-03,31,33.730,1296958.84,14791845.35,-0.050394,-0.050394,32
688001,2021-04,30,34.110,1311570.30,14958489.33,0.011266,0.011266,32
688001,2021-05,31,37.200,1430384.49,16313567.96,0.090589,0.090589,32
688001,2021-06,30,37.960,1818342.88,16646855.90,0.025481,0.025403,32
688001,2021-07,30,46.430,2360517.68,20361262.37,0.223130,0.223130,32
688001,2021-08,31,37.970,1930408.28,16651241.27,-0.182210,-0.182210,32
688001,2021-09,30,34.730,1795197.35,15259893.94,-0.085331,-0.085331,32
688001,2021-10,29,34.110,1763149.48,14987474.30,-0.017852,-0.017852,32
688001,2021-11,30,37.770,1952335.27,16595628.97,0.107300,0.107300,32
688001,2021-12,31,35.870,1854124.07,15760794.58,-0.050304,-0.050304,32
688001,2022-01,28,33.320,1722314.30,14640358.95,-0.071090,-0.071090,32
688001,2022-02,28,32.570,1683546.72,14310819.05,-0.022509,-0.022509,32
688001,2022-03,31,25.800,1333604.71,11336172.29,-0.207860,-0.207860,32
688001,2022-04,29,21.100,1063442.22,9271055.64,-0.182171,-0.182171,32
688001,2022-05,31,30.520,1538211.20,13410076.68,0.446446,0.446445,32
688001,2022-06,30,27.220,1371890.86,11960101.16,-0.108126,-0.108126,32
688001,2022-07,29,31.750,13058831.90,13950575.67,0.166422,0.166422,32
688001,2022-08,31,33.810,13906113.59,14855715.38,0.071295,0.071654,32
688001,2022-09,30,27.190,11216014.95,11979684.65,-0.195800,-0.195800,32
688001,2022-10,31,28.800,11880148.23,12689037.07,0.059213,0.059213,32
688001,2022-11,30,28.880,11913148.65,12724284.40,0.002778,0.002778,32
688001,2022-12,30,26.900,11096388.45,11851913.10,-0.068560,-0.068560,32
688001,2023-01,31,31.750,13097043.56,13988787.33,0.180297,0.180297,32
688001,2023-02,28,32.430,13377547.17,14288389.71,0.021417,0.021417,32
688001,2023-03,31,38.240,15774203.02,16848227.64,0.179155,0.179155,32
688001,2023-04,28,33.050,13633305.82,14561561.93,-0.135722,-0.135722,32
688001,2023-05,31,39.080,16120713.81,17218331.02,0.182451,0.182451,32
688001,2023-06,30,35.420,15605764.71,15605764.71,-0.084558,-0.085977,32
688001,2023-07,31,31.760,13993314.00,13993314.00,-0.103331,-0.103331,32
688001,2023-08,31,32.670,14394255.93,14394255.93,0.028652,0.028652,32
688001,2023-09,28,31.200,13789916.74,13789916.74,-0.044995,-0.044995,32
688001,2023-10,31,30.550,13502626.81,13502626.81,-0.020833,-0.020833,32
688001,2023-11,30,32.410,14324718.00,14324718.00,0.060884,0.060884,32
688001,2023-12,29,34.950,15447358.66,15447358.66,0.078371,0.078371,32
688001,2024-01,31,22.720,10041893.32,10041893.32,-0.349928,-0.349928,32
688001,2024-02,29,26.770,11831931.52,11831931.52,0.178257,0.178257,32
688001,2024-03,29,23.760,10501557.45,10501557.45,-0.112439,-0.112439,32
688001,2024-04,30,22.960,10147969.65,10147969.65,-0.033670,-0.033670,32
688001,2024-05,31,22.800,10077252.09,10077252.09,-0.006969,-0.006969,32
688001,2024-06,28,22.580,9980015.45,9980015.45,-0.002252,-0.002193,32
688001,2024-07,31,23.120,10218687.21,10218687.21,0.023915,0.023915,32
688001,2024-08,30,22.290,9851839.88,9851839.88,-0.035900,-0.035900,32
688001,2024-09,30,30.480,13471694.91,13471694.91,0.367429,0.367429,32
688001,2024-10,31,31.090,13741305.60,13741305.60,0.020013,0.020013,32
688001,2024-11,29,31.600,13993394.22,13993394.22,0.016404,0.016404,32
688001,2024-12,31,27.100,12000664.03,12000664.03,-0.142405,-0.142405,32
688001,2025-01,27,29.930,13330157.70,13330157.70,0.104429,0.104428,32
688001,2025-02,28,27.780,12372595.42,12372595.42,-0.071834,-0.071834,32
688001,2025-03,31,30.190,13445955.93,13445955.93,0.086753,0.086753,32
688001,2025-04,30,24.950,11112177.18,11112177.18,-0.173567,-0.173567,32
688001,2025-05,30,23.970,10675706.90,10675706.90,-0.039279,-0.039279,32
688001,2025-06,30,25.270,11254698.09,11254698.09,0.054234,0.054234,32
688001,2025-07,31,27.330,12172176.45,12172176.45,0.081520,0.081520,32
688001,2025-08,29,29.250,13027301.91,13027301.91,0.070252,0.070252,32
688001,2025-09,30,31.590,14069486.06,14069486.06,0.080000,0.080000,32
688001,2025-10,31,30.520,13592931.77,13592931.77,-0.033871,-0.033871,32
688001,2025-11,28,27.660,12319151.14,12319151.14,-0.093709,-0.093709,32
688001,2025-12,31,30.180,13441503.30,13441503.30,0.091106,0.091106,32
688001,2026-01,30,32.790,14574821.95,14574821.95,0.086481,0.086481,32
688001,2026-02,27,34.680,15414907.76,15414907.76,0.057640,0.057640,32
688002,2019-07,31,51.930,2677952.57,23108850.00,,,32
688002,2019-08,30,48.690,2510870.61,21667050.00,-0.062392,-0.062392,32
688002,2019-09,30,40.670,2097291.18,18098150.00,-0.164716,-0.164716,32
688002,2019-10,31,36.490,1881734.82,16238050.00,-0.102778,-0.102778,32
688002,2019-11,29,32.290,1665147.09,14369050.00,-0.115100,-0.115100,32
688002,2019-12,31,38.090,1964244.43,16950050.00,0.179622,0.179622,32
688002,2020-01,23,50.000,2730000.00,22250000.00,0.312680,0.312680,32
688002,2020-02,28,43.550,2377830.00,19379750.00,-0.129000,-0.129000,32
688002,2020-03,31,38.360,2094456.00,17070200.00,-0.119173,-0.119173,32
688002,2020-04,30,46.700,2549820.00,20781500.00,0.217414,0.217414,32
688002,2020-05,29,44.830,2447718.00,19949350.00,-0.040043,-0.040043,32
688002,2020-06,30,50.980,2783508.00,22686100.00,0.138312,0.138211,32
688002,2020-07,31,79.100,18092429.89,35199500.00,0.551589,0.551589,32
688002,2020-08,31,82.330,18831223.17,36636850.00,0.040834,0.040834,32
688002,2020-09,30,83.590,19119421.17,37197550.00,0.015304,0.015304,32
688002,2020-10,30,83.700,19144581.31,37246500.00,0.001316,0.001316,32
688002,2020-11,30,90.970,20807438.01,40481650.00,0.086858,0.086858,32
688002,2020-12,31,111.000,25388871.27,49395000.00,0.220182,0.220182,32
