Stkcd,Trdmnt,Clsdt,Mclsprc,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype
200002,1993-05,31,8.882,399690.00,399690.00,,,8
200002,1993-06,30,6.400,288000.00,288000.00,-0.279442,-0.279442,8
200002,1993-07,29,5.500,247500.00,247500.00,-0.140625,-0.140625,8
200002,1993-08,31,6.700,301500.00,301500.00,0.218182,0.218182,8
200002,1993-09,30,7.850,353250.00,353250.00,0.171642,0.171642,8
200002,1993-10,28,7.700,346500.00,346500.00,-0.019108,-0.019108,8
200002,1993-11,30,10.000,450000.00,450000.00,0.298701,0.298701,8
200002,1993-12,31,9.550,429750.00,429750.00,-0.045000,-0.045000,8
200002,1994-01,26,10.300,463500.00,463500.00,0.078534,0.078534,8
200002,1994-02,28,9.650,434250.00,434250.00,-0.063107,-0.063107,8
200002,1994-03,30,8.400,378000.00,378000.00,-0.129534,-0.129534,8
200002,1994-05,23,8.600,387000.00,387000.00,0.023810,0.023810,8
200002,1994-06,29,6.850,383031.45,383031.45,0.000546,0.001838,8
200002,1994-07,27,6.000,335502.00,335502.00,-0.124088,-0.124088,8
200002,1994-08,09,5.600,313135.20,313135.20,-0.066667,-0.066667,8
200002,1994-09,30,5.300,296360.10,296360.10,-0.053571,-0.053571,8
200002,1994-10,28,5.000,279585.00,279585.00,-0.056604,-0.056604,8
200002,1994-11,30,5.000,279585.00,279585.00,0.000000,0.000000,8
200002,1994-12,30,3.650,204097.05,204097.05,-0.270000,-0.270000,8
200002,1995-01,27,3.500,195709.50,195709.50,-0.041096,-0.041096,8
200002,1995-02,28,3.500,195709.50,195709.50,0.000000,0.000000,8
200002,1995-03,31,3.040,169987.68,169987.68,-0.131429,-0.131429,8
200002,1995-04,28,2.520,140910.84,140910.84,-0.171053,-0.171053,8
200002,1995-05,31,2.700,150975.90,150975.90,0.071429,0.071429,8
200002,1995-06,30,2.700,150975.90,150975.90,0.000000,0.000000,8
200002,1995-07,28,2.720,174908.38,174908.38,0.210531,0.214074,8
200002,1995-08,31,2.800,180052.74,180052.74,0.029412,0.029412,8
200002,1995-09,27,2.800,180052.74,180052.74,0.000000,0.000000,8
200002,1995-10,31,2.900,186483.20,186483.20,0.035714,0.035714,8
200002,1995-11,30,2.800,180052.74,180052.74,-0.034483,-0.034483,8
200002,1995-12,29,2.850,183267.97,183267.97,0.017857,0.017857,8
200002,1996-01,31,2.900,186483.20,186483.20,0.017544,0.017544,8
200002,1996-02,16,2.750,176837.51,176837.51,-0.051724,-0.051724,8
200002,1996-03,29,2.800,180052.74,180052.74,0.018182,0.018182,8
200002,1996-04,30,3.000,192913.65,192913.65,0.071429,0.071429,8
200002,1996-05,31,3.200,205774.56,205774.56,0.066667,0.066667,8
200002,1996-06,28,3.320,213491.11,213491.11,0.037500,0.037500,8
200002,1996-07,31,5.250,337598.89,337598.89,0.581325,0.581325,8
200002,1996-08,30,3.750,265256.27,265256.27,-0.193736,-0.187619,8
200002,1996-09,27,4.020,284354.72,284354.72,0.072000,0.072000,8
200002,1996-10,31,3.910,276573.87,276573.87,-0.027363,-0.027363,8
200002,1996-11,29,6.500,459777.53,459777.53,0.662404,0.662404,8
200002,1996-12,31,5.470,386920.48,386920.48,-0.158462,-0.158462,8
200002,1997-01,31,6.180,437142.33,437142.33,0.129799,0.129799,8
200002,1997-02,28,6.320,447045.23,447045.23,0.022654,0.022654,8
200002,1997-03,27,6.770,478875.98,478875.98,0.071203,0.071203,8
200002,1997-04,30,9.000,636615.05,636615.05,0.329394,0.329394,8
200002,1997-05,29,8.480,599832.84,599832.84,-0.057778,-0.057778,8
200002,1997-06,27,7.530,612529.77,612529.77,0.032252,0.032960,8
200002,1997-07,31,5.200,523245.22,523245.22,-0.262760,-0.251742,8
200002,1997-08,29,6.390,642987.87,642987.87,0.228846,0.228846,8
200002,1997-09,30,5.500,553432.44,553432.44,-0.139280,-0.139280,8
200002,1997-10,31,5.400,543370.03,543370.03,-0.018182,-0.018182,8
200002,1997-11,28,4.620,464883.25,464883.25,-0.144444,-0.144444,8
200002,1997-12,31,4.500,452808.36,452808.36,-0.025974,-0.025974,8
200002,1998-01,23,3.700,372309.10,372309.10,-0.177778,-0.177778,8
200002,1998-02,27,4.380,440733.47,440733.47,0.183784,0.183784,8
200002,1998-03,31,5.020,505132.88,505132.88,0.146119,0.146119,8
200002,1998-04,30,5.200,523245.22,523245.22,0.035857,0.035857,8
200002,1998-05,29,4.900,493057.99,493057.99,-0.057692,-0.057692,8
200002,1998-06,30,4.450,447777.16,447777.16,-0.091837,-0.091837,8
200002,1998-07,31,2.210,244617.14,244617.14,-0.437733,-0.420000,8
200002,1998-08,31,2.200,243510.27,243510.27,-0.004525,-0.004525,8
200002,1998-09,30,2.800,309922.17,309922.17,0.272727,0.272727,8
200002,1998-10,30,2.830,313242.76,313242.76,0.010714,0.010714,8
