Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
2002-07,1,1,SZ1_BSMB1,-0.024208370702104846,50
2002-07,1,2,SZ1_BSMB2,-0.03623850310802456,90
2002-07,1,3,SZ1_BSMB3,-0.029416208388463018,175
2002-07,2,1,SZ2_BSMB1,-0.046792144552425426,97
2002-07,2,2,SZ2_BSMB2,-0.03761252288832764,120
2002-07,2,3,SZ2_BSMB3,-0.027018409193205643,94
2002-07,3,1,SZ3_BSMB1,-0.0483003130360393,166
2002-07,3,2,SZ3_BSMB2,-0.03809245582285494,104
2002-07,3,3,SZ3_BSMB3,-0.018794554099348906,45
2002-08,1,1,SZ1_BSMB1,0.009302285849574059,50
2002-08,1,2,SZ1_BSMB2,0.015938189333216342,90
2002-08,1,3,SZ1_BSMB3,0.012207062473253937,175
2002-08,2,1,SZ2_BSMB1,0.0031967327344235084,97
2002-08,2,2,SZ2_BSMB2,0.004761032982744729,120
2002-08,2,3,SZ2_BSMB3,0.004941397849873208,94
2002-08,3,1,SZ3_BSMB1,0.008039017547078961,166
2002-08,3,2,SZ3_BSMB2,0.0036132287605406504,104
2002-08,3,3,SZ3_BSMB3,-0.009229282017152896,45
2002-09,1,1,SZ1_BSMB1,-0.06111340368304387,50
2002-09,1,2,SZ1_BSMB2,-0.05748353298275554,90
2002-09,1,3,SZ1_BSMB3,-0.06189167180368029,174
2002-09,2,1,SZ2_BSMB1,-0.062310939526007206,97
2002-09,2,2,SZ2_BSMB2,-0.06221117298343995,120
2002-09,2,3,SZ2_BSMB3,-0.06320267358158313,94
2002-09,3,1,SZ3_BSMB1,-0.053716750073490686,166
2002-09,3,2,SZ3_BSMB2,-0.051176070726142324,104
2002-09,3,3,SZ3_BSMB3,-0.0474864933053042,45
2002-10,1,1,SZ1_BSMB1,-0.057999121281542,50
2002-10,1,2,SZ1_BSMB2,-0.06102542422480732,90
2002-10,1,3,SZ1_BSMB3,-0.06258901017603122,172
2002-10,2,1,SZ2_BSMB1,-0.05003078782085026,97
2002-10,2,2,SZ2_BSMB2,-0.05171607848614998,120
2002-10,2,3,SZ2_BSMB3,-0.05099985751404016,94
2002-10,3,1,SZ3_BSMB1,-0.05074205179598715,166
2002-10,3,2,SZ3_BSMB2,-0.039138050594219265,103
2002-10,3,3,SZ3_BSMB3,-0.02921289176613881,45
2002-11,1,1,SZ1_BSMB1,-0.08994310881111882,50
2002-11,1,2,SZ1_BSMB2,-0.08549102382363581,90
2002-11,1,3,SZ1_BSMB3,-0.09706891495547808,172
2002-11,2,1,SZ2_BSMB1,-0.07417339526786319,97
2002-11,2,2,SZ2_BSMB2,-0.08886398898780486,120
2002-11,2,3,SZ2_BSMB3,-0.08142133052501872,94
2002-11,3,1,SZ3_BSMB1,-0.045010684566053366,166
2002-11,3,2,SZ3_BSMB2,-0.05318488804757077,103
2002-11,3,3,SZ3_BSMB3,-0.06999375250932124,45
2002-12,1,1,SZ1_BSMB1,-0.03440694962916382,50
2002-12,1,2,SZ1_BSMB2,-0.046847292365151755,90
2002-12,1,3,SZ1_BSMB3,-0.03685801160834972,172
2002-12,2,1,SZ2_BSMB1,-0.058890958992746975,97
2002-12,2,2,SZ2_BSMB2,-0.05603599882110874,120
2002-12,2,3,SZ2_BSMB3,-0.04630276684351585,94
2002-12,3,1,SZ3_BSMB1,-0.05046138769122499,166
2002-12,3,2,SZ3_BSMB2,-0.04365927127766888,104
2002-12,3,3,SZ3_BSMB3,-0.058749067249340106,45
2003-01,1,1,SZ1_BSMB1,0.10181311423430905,50
2003-01,1,2,SZ1_BSMB2,0.10518713382456792,90
2003-01,1,3,SZ1_BSMB3,0.11661227376525152,172
2003-01,2,1,SZ2_BSMB1,0.096571105511495,97
2003-01,2,2,SZ2_BSMB2,0.09953533570406554,120
2003-01,2,3,SZ2_BSMB3,0.09445369619634825,94
2003-01,3,1,SZ3_BSMB1,0.09719772073972786,166
2003-01,3,2,SZ3_BSMB2,0.06934511658979703,104
2003-01,3,3,SZ3_BSMB3,0.08354609960677624,45
2003-02,1,1,SZ1_BSMB1,0.021826948636083223,50
2003-02,1,2,SZ1_BSMB2,0.01896957403129965,90
2003-02,1,3,SZ1_BSMB3,0.020797182181850078,171
2003-02,2,1,SZ2_BSMB1,0.010788802879383271,97
2003-02,2,2,SZ2_BSMB2,0.01296907522639509,120
2003-02,2,3,SZ2_BSMB3,0.012021175693668108,94
2003-02,3,1,SZ3_BSMB1,-0.0012082267159765122,166
2003-02,3,2,SZ3_BSMB2,0.02126227504607947,104
2003-02,3,3,SZ3_BSMB3,0.019332188005285723,45
2003-03,1,1,SZ1_BSMB1,-0.025545500418371513,50
2003-03,1,2,SZ1_BSMB2,-0.018134328094513975,90
2003-03,1,3,SZ1_BSMB3,-0.0316806157938448,172
2003-03,2,1,SZ2_BSMB1,-0.03525588911752916,97
2003-03,2,2,SZ2_BSMB2,-0.025071503074163264,120
2003-03,2,3,SZ2_BSMB3,-0.03108665464742099,93
2003-03,3,1,SZ3_BSMB1,0.007469125276230653,165
2003-03,3,2,SZ3_BSMB2,-0.0078013504519237695,104
2003-03,3,3,SZ3_BSMB3,-0.017660644220143833,45
2003-04,1,1,SZ1_BSMB1,-0.03369887532866789,50
2003-04,1,2,SZ1_BSMB2,-0.0564647035700973,90
2003-04,1,3,SZ1_BSMB3,-0.07714176375877185,171
2003-04,2,1,SZ2_BSMB1,-0.035420341324470986,97
