form_year,form_month,Stkcd,beta,size,ln_size,book_equity,be_me,ln_be_me,size_decile,beta_decile,beme_decile,size_beta_decile,size_beme_decile
1992,1992-06,000001,,5657258.250000,15.5484499247,577960000.000000,102.1625625806,4.6265652954,9,,8,,1
1992,1992-06,000002,,2193659.510000,14.6010817163,190567002.150000,86.8717325005,4.4644326917,6,,6,,1
1992,1992-06,000003,,1847481.270000,14.4293337937,142698379.970000,77.2394190335,4.3469099360,5,,6,,1
1992,1992-06,000004,,687375.000000,13.4406352738,50899542.140000,74.0491611420,4.3047292124,2,,5,,1
1992,1992-06,000005,,873000.000000,13.6796908348,,,,3,,,,
1992,1992-06,000006,,1271893.830000,14.0560175524,,,,4,,,,
1992,1992-06,000007,,721939.000000,13.4896959268,,,,3,,,,
1992,1992-06,000008,,573804.000000,13.2600431536,,,,2,,,,
1992,1992-06,000009,,7670245.800000,15.8528592198,433689760.280000,56.5418334156,4.0349807786,10,,4,,1
1992,1992-06,000011,,5756050.820000,15.5657621760,,,,9,,,,
1992,1992-06,000012,,2091518.770000,14.5534010442,,,,6,,,,
1992,1992-06,000013,,2911621.800000,14.8842208035,,,,7,,,,
1992,1992-06,000014,,616238.400000,13.3313891806,,,,2,,,,
1992,1992-06,000015,,1669179.950000,14.3278430159,,,,5,,,,
1992,1992-06,000016,,3163733.950000,14.9672635177,,,,7,,,,
1992,1992-06,000017,,4230055.900000,15.2577257661,,,,8,,,,
1992,1992-06,000018,,2120166.180000,14.5670050304,,,,6,,,,
1992,1992-06,000020,,3221070.000000,14.9852241605,,,,8,,,,
1992,1992-06,600601,,358900.000000,12.7907990771,16391508.100000,45.6715188075,3.8214748828,1,,3,,3
1992,1992-06,600602,,4185000.000000,15.2470172619,418080099.090000,99.8996652545,4.6041663348,8,,7,,1
1992,1992-06,600603,,721000.000000,13.4883944163,,,,3,,,,
1992,1992-06,600604,,4564165.950000,15.3337463500,,,,9,,,,
1992,1992-06,600605,,2808545.800000,14.8481773985,,,,7,,,,
1992,1992-06,600606,,1521408.970000,14.2351474174,,,,5,,,,
1992,1992-06,600607,,13928300.650000,16.4494333462,,,,10,,,,
1992,1992-06,600608,,7330601.180000,15.8075680869,,,,10,,,,
1992,1992-06,600651,,180000.000000,12.1007121299,22297073.010000,123.8726278333,4.8192538428,1,,10,,8
1992,1992-06,600652,,111510.000000,11.6218695520,13149547.890000,117.9225889158,4.7700283830,1,,9,,6
1992,1992-06,600653,,378000.000000,12.8426494746,10556135.620000,27.9262847090,3.3295683496,1,,1,,1
1992,1992-06,600654,,885612.000000,13.6940342104,24280544.390000,27.4166840445,3.3111517348,4,,1,,1
1992,1992-06,600656,,878081.120000,13.6854942601,38890094.930000,44.2898657586,3.7907558870,4,,2,,6
1993,1993-06,000001,0.5073918031,7220399.690000,15.7924208681,545662200.000000,75.5722984083,4.3250897929,10,2,1,1,1
1993,1993-06,000002,1.1221726749,2313733.500000,14.6543730116,235426866.350000,101.7519374422,4.6225378653,7,9,3,1,3
1993,1993-06,000003,,2148102.430000,14.5800954197,201357355.240000,93.7373155153,4.5404963545,7,,3,,2
1993,1993-06,000004,0.8744350636,839767.500000,13.6408803468,72711820.700000,86.5856569824,4.4611341781,3,7,3,4,5
1993,1993-06,000006,,1218993.150000,14.0135357891,92391350.600000,75.7931663521,4.3280081349,5,,2,,2
1993,1993-06,000007,,664905.190000,13.4073997380,53910016.840000,81.0792540813,4.3954271218,2,,2,,1
1993,1993-06,000008,,425482.200000,12.9609783930,48977876.060000,115.1114572125,4.7459008522,1,,4,,5
1993,1993-06,000009,0.7459471341,6364484.270000,15.6662437608,653373470.850000,102.6592954169,4.6314156938,10,6,4,6,3
1993,1993-06,000011,,4163467.590000,15.2418588403,730235794.470000,175.3912522879,5.1670192058,9,,7,,3
1993,1993-06,000012,,2352747.700000,14.6710944371,278025884.950000,118.1707179865,4.7721303415,7,,5,,4
1993,1993-06,000013,,2176901.920000,14.5934132864,305956073.790000,140.5465588408,4.9455388135,7,,6,,8
1993,1993-06,000014,,745860.960000,13.5222944811,59749579.910000,80.1082012792,4.3833782368,3,,2,,3
1993,1993-06,000015,,1460997.150000,14.1946297400,180807772.510000,123.7564169855,4.8183152545,5,,5,,3
1993,1993-06,000016,,2366035.520000,14.6767263361,310146992.670000,131.0829825032,4.8758305769,7,,6,,6
1993,1993-06,000017,,3121974.730000,14.9539762859,550432158.020000,176.3089728852,5.1722379837,8,,7,,8
1993,1993-06,000018,,1230874.910000,14.0232357834,247041502.460000,200.7039874263,5.3018311232,5,,9,,9
1993,1993-06,000019,,1002091.130000,13.8175995046,194579030.610000,194.1729896462,5.2687494609,4,,9,,8
1993,1993-06,000020,,1808885.100000,14.4082212466,268054977.000000,148.1879512413,4.9984814089,6,,7,,6
1993,1993-06,000022,,3069834.500000,14.9371342093,,,,8,,,,
1993,1993-06,000023,,957600.000000,13.7721854332,,,,4,,,,
1993,1993-06,000024,,1792000.000000,14.3988428725,,,,6,,,,
1993,1993-06,000025,,1652400.000000,14.3177393345,,,,6,,,,
1993,1993-06,000026,,609500.000000,13.3203942279,,,,2,,,,
1993,1993-06,000501,,2646761.670000,14.7888474394,342830690.350000,129.5283569487,4.8638998297,8,,6,,6
1993,1993-06,000502,,2080875.030000,14.5482990507,91106902.210000,43.7829763424,3.7792450738,6,,1,,1
1993,1993-06,000503,,1500000.000000,14.2209756661,102442262.710000,68.2948418067,4.2238342411,5,,1,,1
