size_decile,beta_decile_within_size,portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
1,1,S1B1,5.416,0.8680,587415.74
1,2,S1B2,5.852,1.3998,649215.50
1,3,S1B3,6.237,1.2816,633924.85
1,4,S1B4,5.515,1.2272,649831.23
1,5,S1B5,4.384,1.0251,670562.01
1,6,S1B6,8.163,1.5512,621698.12
1,7,S1B7,5.985,1.1733,688442.82
1,8,S1B8,6.971,1.4497,640364.52
1,9,S1B9,4.893,0.9161,673905.27
1,10,S1B10,3.725,0.9983,681641.48
2,1,S2B1,4.790,1.5478,826656.36
2,2,S2B2,4.440,1.3707,878390.09
2,3,S2B3,4.149,1.1496,882347.04
2,4,S2B4,3.918,1.1738,893091.84
2,5,S2B5,2.767,1.0311,888985.70
2,6,S2B6,2.063,0.9380,873053.05
2,7,S2B7,4.948,1.0787,921387.37
2,8,S2B8,2.683,0.9959,871291.53
2,9,S2B9,1.848,0.8150,922284.15
2,10,S2B10,3.324,1.0895,939780.38
3,1,S3B1,3.129,0.7879,1002757.15
3,2,S3B2,3.817,1.0146,1104379.64
3,3,S3B3,3.516,0.9692,1081775.33
3,4,S3B4,1.365,0.8892,1065764.88
3,5,S3B5,3.751,1.1896,1102201.57
3,6,S3B6,3.436,1.1295,1046538.93
3,7,S3B7,0.660,0.7517,1028962.02
3,8,S3B8,1.723,0.7368,1099470.67
3,9,S3B9,3.062,0.9479,1056221.38
3,10,S3B10,3.184,0.9707,1121602.68
4,1,S4B1,3.192,1.1026,1246394.22
4,2,S4B2,3.884,1.1915,1317213.48
4,3,S4B3,3.535,0.6944,1196623.74
4,4,S4B4,3.132,1.3344,1381031.77
4,5,S4B5,3.064,0.9265,1254828.74
4,6,S4B6,2.551,0.5806,1242236.77
4,7,S4B7,1.369,0.9100,1339763.39
4,8,S4B8,3.140,1.3232,1234343.97
4,9,S4B9,0.228,0.7697,1295337.51
4,10,S4B10,3.293,0.8697,1355756.24
5,1,S5B1,3.764,1.1897,1430459.84
5,2,S5B2,3.975,1.3620,1590280.16
5,3,S5B3,3.212,1.0873,1576720.23
5,4,S5B4,2.318,0.7041,1444705.98
5,5,S5B5,0.901,0.9869,1566688.69
5,6,S5B6,0.450,0.7412,1478030.16
5,7,S5B7,4.017,1.2183,1464614.88
5,8,S5B8,4.492,1.2532,1559422.20
5,9,S5B9,2.609,0.7928,1571056.72
5,10,S5B10,1.687,0.9484,1651536.32
6,1,S6B1,0.732,0.9715,1692217.20
6,2,S6B2,2.545,0.9205,1665487.34
6,3,S6B3,3.154,1.2444,1801950.59
6,4,S6B4,4.586,1.5751,1718902.35
6,5,S6B5,3.300,1.0165,1738535.55
6,6,S6B6,3.902,1.1780,1705705.33
6,7,S6B7,2.066,1.2318,1696964.55
6,8,S6B8,2.417,0.7325,1772196.22
6,9,S6B9,4.056,1.4726,1685643.09
6,10,S6B10,0.972,1.0637,1935033.14
7,1,S7B1,0.762,0.6944,1991933.44
7,2,S7B2,2.958,1.1168,2285490.63
7,3,S7B3,2.781,1.1608,2144039.52
7,4,S7B4,2.397,1.2880,2138689.65
7,5,S7B5,3.600,1.1614,2175529.54
7,6,S7B6,2.028,0.9900,2175057.86
7,7,S7B7,0.391,0.7282,2058290.25
7,8,S7B8,2.562,1.0380,2228001.27
7,9,S7B9,2.907,1.0206,2150492.30
7,10,S7B10,0.782,0.9521,2260362.77
8,1,S8B1,2.904,0.7686,2508731.70
8,2,S8B2,3.178,0.6338,2496965.71
8,3,S8B3,2.976,0.9585,2626391.18
8,4,S8B4,2.407,0.7049,2479891.76
8,5,S8B5,1.224,1.0266,2692688.78
8,6,S8B6,1.183,0.6710,2482175.33
8,7,S8B7,1.499,0.5271,2475276.23
8,8,S8B8,1.117,0.9817,2630482.23
8,9,S8B9,1.484,0.8092,2593279.26
8,10,S8B10,0.425,0.7319,2706974.98
9,1,S9B1,3.113,0.5792,3435066.73
9,2,S9B2,2.005,1.1402,3973297.83
9,3,S9B3,2.612,1.1211,3537111.29
9,4,S9B4,1.343,0.9759,3690763.32
9,5,S9B5,3.902,1.1279,3671828.96
9,6,S9B6,0.597,0.8593,3629201.90
9,7,S9B7,1.709,0.8395,3644985.85
9,8,S9B8,-0.205,0.8925,3718853.95
9,9,S9B9,1.705,0.7044,3533507.04
9,10,S9B10,2.408,0.8608,3597092.73
10,1,S10B1,2.353,0.6611,9948526.45
10,2,S10B2,3.195,1.5024,7745561.10
10,3,S10B3,3.583,0.8912,7541846.74
10,4,S10B4,1.333,0.5638,16472510.24
10,5,S10B5,0.926,0.9685,6775291.80
10,6,S10B6,-1.046,0.6186,11011483.13
10,7,S10B7,1.031,0.5447,8109310.14
10,8,S10B8,0.670,0.9596,9260546.14
10,9,S10B9,2.318,0.9644,7932279.97
10,10,S10B10,1.317,1.0709,12358227.59
