model,coefficient,avg_lambda,nw12_tstat
M1_beta,intercept,0.0132241370,2.2135
M1_beta,beta,-0.0008814830,-0.5801
M2_ln_size,intercept,0.0813656636,2.9358
M2_ln_size,ln_size,-0.0045131665,-2.9464
M3_ln_be_me,intercept,-0.0032775139,-0.3444
M3_ln_be_me,ln_be_me,0.0026730832,2.6145
M4_beta_ln_size,intercept,0.0825198091,3.0753
M4_beta_ln_size,beta,-0.0008059234,-0.6569
M4_beta_ln_size,ln_size,-0.0045179503,-3.0214
M5_beta_ln_be_me,intercept,-0.0008688819,-0.0978
M5_beta_ln_be_me,beta,-0.0005070896,-0.3429
M5_beta_ln_be_me,ln_be_me,0.0023760968,2.3701
M6_ln_size_ln_be_me,intercept,0.0634391673,2.3017
M6_ln_size_ln_be_me,ln_size,-0.0043601160,-3.0351
M6_ln_size_ln_be_me,ln_be_me,0.0027251990,3.1091
M7_all3,intercept,0.0671111402,2.4731
M7_all3,beta,-0.0004404289,-0.3636
M7_all3,ln_size,-0.0044726489,-3.1373
M7_all3,ln_be_me,0.0025013299,3.0048
