size_decile,beme_decile_within_size,portfolio,avg_monthly_return_pct,avg_size
1,1,S1M1,2.284,1513888.36
1,2,S1M2,1.843,1615472.42
1,3,S1M3,2.129,1660969.34
1,4,S1M4,2.395,1699282.18
1,5,S1M5,2.172,1680127.71
1,6,S1M6,2.807,1683955.43
1,7,S1M7,2.054,1703928.61
1,8,S1M8,2.501,1728029.22
1,9,S1M9,2.365,1715108.72
1,10,S1M10,1.951,1626904.11
2,1,S2M1,1.702,2322486.27
2,2,S2M2,1.909,2344586.96
2,3,S2M3,1.735,2332034.99
2,4,S2M4,2.173,2328890.34
2,5,S2M5,2.091,2319754.89
2,6,S2M6,1.999,2328592.47
2,7,S2M7,2.183,2343259.39
2,8,S2M8,2.067,2327280.21
2,9,S2M9,2.605,2331445.91
2,10,S2M10,2.202,2343270.72
3,1,S3M1,1.045,2924319.36
3,2,S3M2,1.663,2941552.04
3,3,S3M3,1.514,2931394.18
3,4,S3M4,1.883,2935305.57
3,5,S3M5,1.715,2938607.18
3,6,S3M6,1.865,2931211.95
3,7,S3M7,1.833,2947588.66
3,8,S3M8,1.972,2932719.36
3,9,S3M9,1.994,2944411.96
3,10,S3M10,1.702,2953784.08
4,1,S4M1,1.294,3612935.30
4,2,S4M2,1.473,3597276.05
4,3,S4M3,1.249,3631554.97
4,4,S4M4,1.475,3598001.25
4,5,S4M5,1.773,3620926.97
4,6,S4M6,1.707,3619446.36
4,7,S4M7,1.691,3620184.16
4,8,S4M8,1.593,3625287.87
4,9,S4M9,1.717,3596564.24
4,10,S4M10,1.713,3629811.74
5,1,S5M1,0.878,4469975.53
5,2,S5M2,1.435,4505506.25
5,3,S5M3,0.928,4504541.35
5,4,S5M4,1.592,4490803.10
5,5,S5M5,1.414,4496938.48
5,6,S5M6,1.429,4481661.66
5,7,S5M7,1.507,4481458.03
5,8,S5M8,1.563,4507865.01
5,9,S5M9,1.545,4493595.51
5,10,S5M10,1.671,4484854.71
6,1,S6M1,1.061,5700585.84
6,2,S6M2,1.210,5720074.19
6,3,S6M3,0.983,5676227.35
6,4,S6M4,1.260,5671013.76
6,5,S6M5,1.339,5665985.20
6,6,S6M6,1.468,5667545.83
6,7,S6M7,1.671,5660292.97
6,8,S6M8,1.347,5671436.72
6,9,S6M9,1.369,5708551.62
6,10,S6M10,1.503,5720396.89
7,1,S7M1,0.606,7597884.89
7,2,S7M2,0.959,7610142.60
7,3,S7M3,1.069,7551912.04
7,4,S7M4,1.006,7524693.52
7,5,S7M5,1.230,7525802.38
7,6,S7M6,1.461,7566143.01
7,7,S7M7,1.400,7480744.54
7,8,S7M8,1.459,7608984.58
7,9,S7M9,1.267,7623730.98
7,10,S7M10,1.359,7555979.59
8,1,S8M1,0.820,10795097.29
8,2,S8M2,0.959,10726424.42
8,3,S8M3,0.773,10622815.81
8,4,S8M4,1.023,10740414.44
8,5,S8M5,1.081,10742845.69
8,6,S8M6,1.103,10749990.19
8,7,S8M7,1.248,10773128.13
8,8,S8M8,1.293,10704150.78
8,9,S8M9,1.417,10790576.44
8,10,S8M10,1.274,10834017.96
9,1,S9M1,0.873,18056516.01
9,2,S9M2,0.826,17987201.22
9,3,S9M3,0.787,17862407.96
9,4,S9M4,1.002,17837332.88
9,5,S9M5,0.635,18039134.33
9,6,S9M6,1.006,17685633.12
9,7,S9M7,1.066,17498018.35
9,8,S9M8,1.263,17665365.70
9,9,S9M9,1.101,17939597.42
9,10,S9M10,1.302,17740341.45
10,1,S10M1,0.285,87906667.87
10,2,S10M2,0.395,75856957.85
10,3,S10M3,0.750,64028147.29
10,4,S10M4,0.483,61535633.88
10,5,S10M5,0.389,60979729.66
10,6,S10M6,0.420,74294377.33
10,7,S10M7,0.629,90726629.78
10,8,S10M8,0.832,92112346.91
10,9,S10M9,1.126,122429738.30
10,10,S10M10,0.972,173489873.83
