portfolio,size_quintile,bm_quintile,actual_avg_excess_pct,fitted_avg_excess_pct,pricing_error_pct,rmse_pct,mae_pct
S1B1,1,1,4.59204141999702,2.20523147106504,2.38680994893198,,
S1B2,1,2,2.324441270309983,1.3431852432025497,0.9812560271074334,,
S1B3,1,3,2.3949292571061065,2.6413136225466936,-0.246384365440587,,
S1B4,1,4,5.104450482744049,2.788373121816436,2.3160773609276135,,
S1B5,1,5,3.7362996589394153,3.1283599101596185,0.6079397487797968,,
S2B1,2,1,0.9735669477117884,1.2672900139247743,-0.2937230662129859,,
S2B2,2,2,2.5740394221484055,1.2317601921221741,1.3422792300262314,,
S2B3,2,3,1.228191623852317,1.5201811748917178,-0.2919895510394007,,
S2B4,2,4,2.202744382268154,2.5694266160662385,-0.3666822337980841,,
S2B5,2,5,2.8854405861300116,1.7134802065438623,1.1719603795861493,,
S3B1,3,1,0.9112749470592927,1.1290179155318694,-0.21774296847257674,,
S3B2,3,2,0.7810045411072891,1.0919542641138595,-0.31094972300657026,,
S3B3,3,3,1.7024605990029893,0.8846592869285356,0.8178013120744537,,
S3B4,3,4,1.820713427444344,1.1123928765507576,0.7083205508935865,,
S3B5,3,5,1.7850081976295875,2.3691005334495316,-0.5840923358199444,,
S4B1,4,1,0.9396041638717375,-0.0778064457840175,1.0174106096557551,,
S4B2,4,2,0.2778633195306039,0.5704319866492747,-0.29256866711867086,,
S4B3,4,3,1.3102202887794887,1.4197357459370754,-0.10951545715758675,,
S4B4,4,4,2.05851696287699,1.034702299390261,1.0238146634867291,,
S4B5,4,5,0.8925656971364166,1.2320546511173818,-0.3394889539809652,,
S5B1,5,1,1.0188223966880972,0.18385643566925314,0.834965961018844,,
S5B2,5,2,0.9842361757536401,-0.3342049809688464,1.3184411567224865,,
S5B3,5,3,0.7672702857820112,-0.10441878334788057,0.8716890691298917,,
S5B4,5,4,1.4422626751924525,0.17972896026116153,1.262533714931291,,
S5B5,5,5,0.292639033911317,0.7723017412116572,-0.4796627073003402,,
SUMMARY,,,,,,0.9981330189245469,0.8077639905047982
