Trdmnt,n_stocks_with_size
1992-07,32
1992-08,36
1992-09,39
1992-10,41
1992-11,47
1992-12,52
1993-01,57
1993-02,61
1993-03,70
1993-04,77
1993-05,89
1993-06,98
1993-07,104
1993-08,111
1993-09,121
1993-10,136
1993-11,158
1993-12,176
1994-01,208
1994-02,229
1994-03,242
1994-04,254
1994-05,268
1994-06,270
1994-07,272
1994-08,281
1994-09,286
1994-10,287
1994-11,288
1994-12,288
1995-01,289
1995-02,292
1995-03,295
1995-04,296
1995-05,296
1995-06,297
1995-07,297
1995-08,297
1995-09,296
1995-10,301
1995-11,308
1995-12,312
1996-01,316
1996-02,319
1996-03,329
1996-04,338
1996-05,349
1996-06,367
1996-07,391
1996-08,415
1996-09,430
1996-10,451
1996-11,485
1996-12,515
1997-01,534
1997-02,546
1997-03,555
1997-04,579
1997-05,606
1997-06,655
1997-07,680
1997-08,687
1997-09,697
1997-10,706
1997-11,715
1997-12,720
1998-01,728
1998-02,734
1998-03,740
1998-04,750
1998-05,765
1998-06,776
1998-07,782
1998-08,790
1998-09,800
1998-10,809
1998-11,817
1998-12,825
1999-01,833
1999-02,835
1999-03,841
1999-04,851
1999-05,857
1999-06,872
1999-07,885
1999-08,894
1999-09,901
1999-10,905
1999-11,916
1999-12,924
2000-01,930
2000-02,932
2000-03,939
2000-04,945
2000-05,952
2000-06,974
2000-07,997
2000-08,1003
2000-09,1015
2000-10,1021
2000-11,1033
2000-12,1060
2001-01,1074
2001-02,1085
2001-03,1098
2001-04,1100
2001-05,1099
2001-06,1110
2001-07,1106
2001-08,1119
2001-09,1125
2001-10,1126
2001-11,1127
2001-12,1136
2002-01,1139
2002-02,1142
2002-03,1142
2002-04,1148
2002-05,1134
2002-06,1144
2002-07,1156
2002-08,1167
2002-09,1177
2002-10,1182
2002-11,1187
2002-12,1193
2003-01,1201
2003-02,1203
2003-03,1208
2003-04,1211
2003-05,1199
2003-06,1208
2003-07,1222
2003-08,1230
2003-09,1237
2003-10,1243
2003-11,1250
2003-12,1259
2004-01,1265
2004-02,1266
2004-03,1275
2004-04,1283
2004-05,1274
2004-06,1297
2004-07,1319
2004-08,1332
2004-09,1335
2004-10,1339
2004-11,1344
2004-12,1350
2005-01,1349
2005-02,1349
2005-03,1351
2005-04,1354
2005-05,1341
2005-06,1346
2005-07,1348
2005-08,1345
2005-09,1347
2005-10,1339
2005-11,1348
2005-12,1340
2006-01,1323
2006-02,1328
2006-03,1320
2006-04,1303
2006-05,1277
2006-06,1302
2006-07,1307
2006-08,1307
2006-09,1321
2006-10,1333
2006-11,1349
2006-12,1363
2007-01,1356
2007-02,1360
2007-03,1382
2007-04,1402
2007-05,1370
2007-06,1383
2007-07,1389
2007-08,1407
2007-09,1407
2007-10,1406
2007-11,1423
2007-12,1440
2008-01,1458
2008-02,1459
2008-03,1462
2008-04,1469
2008-05,1490
2008-06,1517
2008-07,1536
2008-08,1539
2008-09,1547
2008-10,1546
2008-11,1546
2008-12,1559
2009-01,1556
2009-02,1564
2009-03,1562
2009-04,1566
2009-05,1555
2009-06,1562
2009-07,1563
2009-08,1572
2009-09,1587
2009-10,1593
2009-11,1606
2009-12,1626
2010-01,1642
2010-02,1664
2010-03,1684
