size_decile,beta_decile_within_size,portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
1,1,S1B1,3.485,0.9066,841869.31
1,2,S1B2,3.309,1.1586,879141.26
1,3,S1B3,3.615,1.2134,847335.28
1,4,S1B4,3.501,1.1748,861610.78
1,5,S1B5,2.524,1.0479,902587.93
1,6,S1B6,4.670,1.3982,906381.46
1,7,S1B7,3.513,1.0976,881087.54
1,8,S1B8,3.845,1.3482,902778.26
1,9,S1B9,4.191,1.2640,900493.40
1,10,S1B10,2.859,1.1332,844540.00
2,1,S2B1,3.409,1.3915,1206661.09
2,2,S2B2,2.759,1.1812,1213212.11
2,3,S2B3,2.580,1.0955,1228195.47
2,4,S2B4,3.295,1.0867,1216477.65
2,5,S2B5,2.329,1.0465,1204355.47
2,6,S2B6,2.528,0.9567,1220108.36
2,7,S2B7,3.076,1.1231,1239127.96
2,8,S2B8,2.254,1.0888,1215417.25
2,9,S2B9,2.061,1.0405,1238518.83
2,10,S2B10,2.263,1.1214,1242485.87
3,1,S3B1,2.304,0.8590,1451156.05
3,2,S3B2,2.823,0.9664,1478638.93
3,3,S3B3,2.378,0.9842,1463314.00
3,4,S3B4,1.873,0.9449,1484381.69
3,5,S3B5,2.518,1.1162,1475873.70
3,6,S3B6,2.417,1.1207,1463557.32
3,7,S3B7,1.433,0.9284,1462787.36
3,8,S3B8,1.910,1.0374,1476690.27
3,9,S3B9,2.323,1.0207,1470510.47
3,10,S3B10,2.068,1.0619,1483294.38
4,1,S4B1,2.191,1.0731,1775839.20
4,2,S4B2,2.497,1.0978,1764585.59
4,3,S4B3,2.694,0.7930,1757166.27
4,4,S4B4,2.212,1.1823,1790254.15
4,5,S4B5,2.337,0.9993,1781682.88
4,6,S4B6,2.007,0.7217,1746512.08
4,7,S4B7,2.041,0.9806,1773189.99
4,8,S4B8,2.046,1.2475,1751676.54
4,9,S4B9,1.502,0.9794,1763424.30
4,10,S4B10,2.324,1.0743,1773900.12
5,1,S5B1,2.597,1.1201,2066992.33
5,2,S5B2,2.324,1.1440,2143039.07
5,3,S5B3,2.433,1.0842,2125007.03
5,4,S5B4,1.923,0.8186,2076840.53
5,5,S5B5,1.388,0.9868,2125734.99
5,6,S5B6,1.524,0.9022,2079160.40
5,7,S5B7,2.635,1.1697,2065312.31
5,8,S5B8,2.561,1.1428,2132507.58
5,9,S5B9,1.979,1.0250,2102602.22
5,10,S5B10,1.764,1.0516,2114070.62
6,1,S6B1,1.440,0.9819,2517056.58
6,2,S6B2,2.034,0.9494,2531059.29
6,3,S6B3,2.202,1.0875,2530546.16
6,4,S6B4,2.917,1.4225,2531288.68
6,5,S6B5,1.954,1.0576,2556086.62
6,6,S6B6,2.380,1.1486,2479154.85
6,7,S6B7,1.787,1.1747,2515692.38
6,8,S6B8,1.795,0.9659,2496328.41
6,9,S6B9,2.570,1.3514,2528340.88
6,10,S6B10,1.160,1.0781,2532095.43
7,1,S7B1,1.396,0.7777,3052963.10
7,2,S7B2,2.388,1.0668,3151395.28
7,3,S7B3,2.130,1.0210,3131008.81
7,4,S7B4,1.763,1.1456,3105155.62
7,5,S7B5,1.898,1.1187,3093616.59
7,6,S7B6,1.593,1.0135,3157049.41
7,7,S7B7,1.131,0.9465,3077375.66
7,8,S7B8,1.933,1.1267,3137840.40
7,9,S7B9,1.605,1.0468,3117618.15
7,10,S7B10,1.248,1.0641,3176946.69
8,1,S8B1,1.931,0.7961,4095083.25
8,2,S8B2,2.215,0.6989,4154514.78
8,3,S8B3,1.867,0.9431,4136876.93
8,4,S8B4,2.096,0.8094,4100286.07
8,5,S8B5,1.633,1.0261,4108101.77
8,6,S8B6,1.263,0.8048,4064471.39
8,7,S8B7,1.560,0.6841,4073117.91
8,8,S8B8,1.710,1.0983,4072767.27
8,9,S8B9,1.700,0.8919,4116007.75
8,10,S8B10,1.041,0.9607,4127739.29
9,1,S9B1,1.839,0.6691,6332012.47
9,2,S9B2,2.047,1.0408,6567497.86
9,3,S9B3,2.043,1.0558,6520353.16
9,4,S9B4,1.085,0.9641,6217797.83
9,5,S9B5,2.455,1.1401,6360393.43
9,6,S9B6,1.323,0.9764,6356354.77
9,7,S9B7,1.640,0.9975,6554222.53
9,8,S9B8,1.061,1.0317,6413119.03
9,9,S9B9,1.714,1.0426,6630828.77
9,10,S9B10,1.930,1.0271,6562327.88
10,1,S10B1,1.578,0.7025,21439194.73
10,2,S10B2,1.858,1.1215,32083317.65
10,3,S10B3,1.783,0.9036,27233830.69
10,4,S10B4,1.521,0.6969,33931211.83
10,5,S10B5,1.259,0.9920,34385536.67
10,6,S10B6,0.276,0.8733,21531900.65
10,7,S10B7,1.370,0.7003,21371565.83
10,8,S10B8,1.124,1.0550,16680904.76
10,9,S10B9,1.550,1.1046,16753359.99
10,10,S10B10,1.365,1.1671,21245646.51
