model,coefficient,avg_lambda,nw12_tstat
M1_beta,intercept,0.0250425975,2.2006
M1_beta,beta,-0.0095202492,-1.3224
M2_ln_size,intercept,0.1097244085,3.0947
M2_ln_size,ln_size,-0.0064887771,-2.9490
M3_ln_be_me,intercept,-0.0111567539,-0.6097
M3_ln_be_me,ln_be_me,0.0050580240,1.7503
M4_beta_ln_size,intercept,0.1410402240,2.6972
M4_beta_ln_size,beta,-0.0066045386,-1.2211
M4_beta_ln_size,ln_size,-0.0083400587,-2.3660
M5_beta_ln_be_me,intercept,0.0039767737,0.2241
M5_beta_ln_be_me,beta,-0.0088864365,-1.2374
M5_beta_ln_be_me,ln_be_me,0.0034127400,1.2480
M6_ln_size_ln_be_me,intercept,0.0960093658,1.9890
M6_ln_size_ln_be_me,ln_size,-0.0070027556,-2.6830
M6_ln_size_ln_be_me,ln_be_me,0.0039003823,1.3333
M7_all3,intercept,0.1214269097,1.8984
M7_all3,beta,-0.0059401543,-1.1466
M7_all3,ln_size,-0.0079687631,-2.1861
M7_all3,ln_be_me,0.0021177880,0.7315
