size_decile,beme_decile_within_size,portfolio,avg_monthly_return_pct,avg_size
1,1,S1M1,4.256,798139.66
1,2,S1M2,3.268,864205.84
1,3,S1M3,3.151,858068.56
1,4,S1M4,3.558,886660.58
1,5,S1M5,3.146,890057.10
1,6,S1M6,4.037,874308.30
1,7,S1M7,2.542,892946.19
1,8,S1M8,4.211,891374.82
1,9,S1M9,3.732,920181.94
1,10,S1M10,3.320,895022.29
2,1,S2M1,2.650,1170996.09
2,2,S2M2,2.132,1190013.20
2,3,S2M3,2.041,1188438.12
2,4,S2M4,3.280,1202295.88
2,5,S2M5,2.733,1189536.50
2,6,S2M6,2.539,1190106.54
2,7,S2M7,2.956,1206771.52
2,8,S2M8,2.631,1180256.74
2,9,S2M9,2.603,1194964.64
2,10,S2M10,2.671,1206717.88
3,1,S3M1,1.497,1433714.46
3,2,S3M2,2.537,1452445.30
3,3,S3M3,1.934,1444811.92
3,4,S3M4,2.808,1433336.02
3,5,S3M5,2.216,1440913.28
3,6,S3M6,2.481,1433927.04
3,7,S3M7,2.545,1421623.45
3,8,S3M8,3.673,1441803.27
3,9,S3M9,3.313,1426610.46
3,10,S3M10,2.770,1458590.98
4,1,S4M1,1.488,1702521.59
4,2,S4M2,2.289,1712612.36
4,3,S4M3,1.991,1720709.00
4,4,S4M4,2.428,1730382.06
4,5,S4M5,2.735,1727490.59
4,6,S4M6,1.725,1706084.16
4,7,S4M7,3.019,1734706.29
4,8,S4M8,1.697,1726881.25
4,9,S4M9,2.185,1724328.75
4,10,S4M10,3.202,1748220.35
5,1,S5M1,0.964,2053445.86
5,2,S5M2,1.739,2037231.04
5,3,S5M3,1.137,2054225.86
5,4,S5M4,2.782,2052412.97
5,5,S5M5,2.620,2041433.12
5,6,S5M6,2.309,2054921.71
5,7,S5M7,2.478,2064585.38
5,8,S5M8,2.698,2032883.09
5,9,S5M9,1.448,2074340.89
5,10,S5M10,2.666,2054910.13
6,1,S6M1,0.784,2476537.31
6,2,S6M2,2.417,2493315.33
6,3,S6M3,1.661,2466634.23
6,4,S6M4,1.279,2504407.43
6,5,S6M5,2.268,2470988.28
6,6,S6M6,2.131,2493069.03
6,7,S6M7,2.506,2468812.68
6,8,S6M8,1.761,2482801.86
6,9,S6M9,2.271,2495919.66
6,10,S6M10,3.327,2512666.55
7,1,S7M1,1.486,3040398.66
7,2,S7M2,1.583,3036875.76
7,3,S7M3,1.453,3069736.68
7,4,S7M4,2.018,3035255.62
7,5,S7M5,2.112,3081752.94
7,6,S7M6,1.891,3023105.29
7,7,S7M7,2.002,3055933.81
7,8,S7M8,2.030,2997833.02
7,9,S7M9,1.984,3044739.09
7,10,S7M10,2.310,3099412.22
8,1,S8M1,1.599,4005875.99
8,2,S8M2,1.263,4026608.02
8,3,S8M3,0.811,3998442.34
8,4,S8M4,2.079,4033071.76
8,5,S8M5,2.116,3987152.07
8,6,S8M6,1.062,3970764.45
8,7,S8M7,1.832,4041375.74
8,8,S8M8,1.693,4039222.15
8,9,S8M9,2.046,4024789.50
8,10,S8M10,2.479,4053833.62
9,1,S9M1,1.615,6167392.45
9,2,S9M2,1.640,6344904.30
9,3,S9M3,1.057,6128929.84
9,4,S9M4,1.416,6154873.64
9,5,S9M5,1.467,6282832.87
9,6,S9M6,1.128,6199447.28
9,7,S9M7,2.145,6183066.91
9,8,S9M8,2.055,6148605.53
9,9,S9M9,1.762,6231574.58
9,10,S9M10,3.571,6163099.81
10,1,S10M1,0.811,18939096.38
10,2,S10M2,1.529,19089608.41
10,3,S10M3,1.341,19335849.46
10,4,S10M4,1.818,28713351.14
10,5,S10M5,1.956,27427549.81
10,6,S10M6,0.886,45438921.40
10,7,S10M7,1.213,41075373.58
10,8,S10M8,1.309,41466412.22
10,9,S10M9,2.153,45515224.75
10,10,S10M10,2.075,35536827.56
