Trdmnt,model,coefficient,lambda,n_stocks
2010-04,M1_beta,intercept,-0.0398446191,1389
2010-04,M1_beta,beta,-0.0290511529,1389
2010-04,M2_ln_size,intercept,0.0125041098,1545
2010-04,M2_ln_size,ln_size,-0.0054104644,1545
2010-04,M3_ln_be_me,intercept,-0.0267789424,1514
2010-04,M3_ln_be_me,ln_be_me,-0.0077883099,1514
2010-04,M4_beta_ln_size,intercept,0.0354513217,1389
2010-04,M4_beta_ln_size,beta,-0.0286425611,1389
2010-04,M4_beta_ln_size,ln_size,-0.0049763387,1389
2010-04,M5_beta_ln_be_me,intercept,0.0288955534,1358
2010-04,M5_beta_ln_be_me,beta,-0.0343284360,1358
2010-04,M5_beta_ln_be_me,ln_be_me,-0.0114315124,1358
2010-04,M6_ln_size_ln_be_me,intercept,0.0548638834,1514
2010-04,M6_ln_size_ln_be_me,ln_size,-0.0054944989,1514
2010-04,M6_ln_size_ln_be_me,ln_be_me,-0.0074104780,1514
2010-04,M7_all3,intercept,0.1013189847,1358
2010-04,M7_all3,beta,-0.0336698956,1358
2010-04,M7_all3,ln_size,-0.0049111633,1358
2010-04,M7_all3,ln_be_me,-0.0111195932,1358
2010-05,M1_beta,intercept,-0.0462828908,1380
2010-05,M1_beta,beta,-0.0423661947,1380
2010-05,M2_ln_size,intercept,-0.0258844334,1535
2010-05,M2_ln_size,ln_size,-0.0041159227,1535
2010-05,M3_ln_be_me,intercept,-0.0470234085,1505
2010-05,M3_ln_be_me,ln_be_me,-0.0074732505,1505
2010-05,M4_beta_ln_size,intercept,-0.0271552902,1380
2010-05,M4_beta_ln_size,beta,-0.0422640693,1380
2010-05,M4_beta_ln_size,ln_size,-0.0012636969,1380
2010-05,M5_beta_ln_be_me,intercept,0.0135548469,1350
2010-05,M5_beta_ln_be_me,beta,-0.0461544550,1350
2010-05,M5_beta_ln_be_me,ln_be_me,-0.0100727356,1350
2010-05,M6_ln_size_ln_be_me,intercept,0.0147854129,1505
2010-05,M6_ln_size_ln_be_me,ln_size,-0.0041504867,1505
2010-05,M6_ln_size_ln_be_me,ln_be_me,-0.0072093810,1505
2010-05,M7_all3,intercept,0.0289853650,1350
2010-05,M7_all3,beta,-0.0460184157,1350
2010-05,M7_all3,ln_size,-0.0010431517,1350
2010-05,M7_all3,ln_be_me,-0.0100136386,1350
2010-06,M1_beta,intercept,-0.0921140230,1379
2010-06,M1_beta,beta,-0.0071014018,1379
2010-06,M2_ln_size,intercept,-0.1680956741,1534
2010-06,M2_ln_size,ln_size,0.0046707371,1534
2010-06,M3_ln_be_me,intercept,-0.0794551695,1505
2010-06,M3_ln_be_me,ln_be_me,-0.0031826755,1505
2010-06,M4_beta_ln_size,intercept,-0.1837469780,1379
2010-06,M4_beta_ln_size,beta,-0.0075874618,1379
2010-06,M4_beta_ln_size,ln_size,0.0060539718,1379
2010-06,M5_beta_ln_be_me,intercept,-0.0713048585,1350
2010-06,M5_beta_ln_be_me,beta,-0.0082089538,1350
2010-06,M5_beta_ln_be_me,ln_be_me,-0.0035686644,1350
2010-06,M6_ln_size_ln_be_me,intercept,-0.1489391323,1505
2010-06,M6_ln_size_ln_be_me,ln_size,0.0046656740,1505
2010-06,M6_ln_size_ln_be_me,ln_be_me,-0.0034767561,1505
2010-06,M7_all3,intercept,-0.1622040296,1350
2010-06,M7_all3,beta,-0.0090032988,1350
2010-06,M7_all3,ln_size,0.0061448487,1350
2010-06,M7_all3,ln_be_me,-0.0039156614,1350
2010-07,M1_beta,intercept,0.1232617496,1516
2010-07,M1_beta,beta,0.0324737137,1516
2010-07,M2_ln_size,intercept,0.3459221199,1726
2010-07,M2_ln_size,ln_size,-0.0127334163,1726
2010-07,M3_ln_be_me,intercept,0.0430436271,1598
2010-07,M3_ln_be_me,ln_be_me,0.0201159531,1598
2010-07,M4_beta_ln_size,intercept,0.3043455774,1516
2010-07,M4_beta_ln_size,beta,0.0332275825,1516
2010-07,M4_beta_ln_size,ln_size,-0.0119134584,1516
2010-07,M5_beta_ln_be_me,intercept,0.0261504712,1475
2010-07,M5_beta_ln_be_me,beta,0.0305597362,1475
2010-07,M5_beta_ln_be_me,ln_be_me,0.0178472820,1475
2010-07,M6_ln_size_ln_be_me,intercept,0.2712601913,1598
2010-07,M6_ln_size_ln_be_me,ln_size,-0.0159425430,1598
2010-07,M6_ln_size_ln_be_me,ln_be_me,0.0229541681,1598
2010-07,M7_all3,intercept,0.2421372940,1475
2010-07,M7_all3,beta,0.0312001534,1475
2010-07,M7_all3,ln_size,-0.0153307754,1475
2010-07,M7_all3,ln_be_me,0.0210297617,1475
2010-08,M1_beta,intercept,0.1542615860,1509
2010-08,M1_beta,beta,-0.0633384262,1509
2010-08,M2_ln_size,intercept,0.4467669073,1719
2010-08,M2_ln_size,ln_size,-0.0234109313,1719
2010-08,M3_ln_be_me,intercept,0.2785439592,1592
2010-08,M3_ln_be_me,ln_be_me,-0.0339868307,1592
2010-08,M4_beta_ln_size,intercept,0.5171102619,1509
2010-08,M4_beta_ln_size,beta,-0.0617818242,1509
2010-08,M4_beta_ln_size,ln_size,-0.0238743206,1509
2010-08,M5_beta_ln_be_me,intercept,0.3421316980,1469
2010-08,M5_beta_ln_be_me,beta,-0.0570962518,1469
2010-08,M5_beta_ln_be_me,ln_be_me,-0.0345992690,1469
2010-08,M6_ln_size_ln_be_me,intercept,0.6068483852,1592
2010-08,M6_ln_size_ln_be_me,ln_size,-0.0229383370,1592
2010-08,M6_ln_size_ln_be_me,ln_be_me,-0.0298928117,1592
2010-08,M7_all3,intercept,0.6588552759,1469
2010-08,M7_all3,beta,-0.0561825160,1469
2010-08,M7_all3,ln_size,-0.0224849477,1469
2010-08,M7_all3,ln_be_me,-0.0299171825,1469
2010-09,M1_beta,intercept,0.0076671041,1513
2010-09,M1_beta,beta,0.0094538708,1513
2010-09,M2_ln_size,intercept,-0.0090496173,1723
2010-09,M2_ln_size,ln_size,0.0013370973,1723
