size_decile,beta_decile_within_size,portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
1,1,S1B1,1.908,1.1404,1784794.33
1,2,S1B2,1.726,1.1254,1858654.35
1,3,S1B3,2.167,1.1947,1851198.24
1,4,S1B4,1.883,1.0798,1869933.45
1,5,S1B5,2.029,1.1243,1835127.26
1,6,S1B6,1.892,1.1394,1838548.37
1,7,S1B7,1.833,1.1275,1855370.43
1,8,S1B8,1.616,1.0861,1862597.43
1,9,S1B9,1.761,1.1645,1828560.06
1,10,S1B10,1.694,1.0818,1787915.56
2,1,S2B1,1.539,1.1350,2662139.31
2,2,S2B2,1.759,1.1501,2674460.75
2,3,S2B3,1.419,1.1093,2649620.25
2,4,S2B4,1.266,1.1246,2675446.04
2,5,S2B5,1.793,1.2017,2664841.58
2,6,S2B6,2.006,1.1293,2666384.31
2,7,S2B7,1.372,1.1907,2651487.66
2,8,S2B8,1.535,1.2320,2654168.93
2,9,S2B9,1.330,1.2265,2690309.82
2,10,S2B10,1.541,1.1412,2683654.56
3,1,S3B1,0.933,1.1363,3386139.03
3,2,S3B2,1.185,1.1850,3406992.60
3,3,S3B3,1.272,1.1604,3379766.25
3,4,S3B4,1.219,1.1309,3391905.29
3,5,S3B5,1.295,1.2438,3383879.63
3,6,S3B6,0.998,1.2049,3394986.22
3,7,S3B7,1.255,1.1137,3391097.36
3,8,S3B8,1.413,1.1647,3378795.86
3,9,S3B9,1.367,1.2410,3397411.54
3,10,S3B10,1.251,1.2666,3401492.96
4,1,S4B1,0.819,1.0909,4218267.41
4,2,S4B2,1.221,1.0662,4191766.59
4,3,S4B3,1.112,1.1597,4156908.02
4,4,S4B4,0.809,1.1096,4149912.30
4,5,S4B5,0.917,1.1759,4193083.98
4,6,S4B6,1.351,1.2317,4215294.90
4,7,S4B7,0.909,1.2492,4178358.73
4,8,S4B8,1.213,1.2723,4210687.61
4,9,S4B9,0.988,1.2447,4195415.77
4,10,S4B10,0.897,1.2309,4222232.05
5,1,S5B1,1.001,1.0291,5255387.52
5,2,S5B2,0.927,1.0145,5269083.24
5,3,S5B3,0.731,1.1548,5185664.30
5,4,S5B4,1.048,1.1759,5282310.97
5,5,S5B5,0.895,1.1869,5225770.77
5,6,S5B6,0.414,1.2322,5240017.08
5,7,S5B7,1.002,1.1826,5238664.56
5,8,S5B8,0.947,1.1686,5252284.99
5,9,S5B9,0.702,1.2293,5265447.09
5,10,S5B10,0.649,1.2718,5230653.06
6,1,S6B1,0.902,1.0507,6691487.02
6,2,S6B2,0.952,1.1490,6725031.46
6,3,S6B3,0.975,1.2182,6664414.33
6,4,S6B4,0.617,1.1693,6655920.45
6,5,S6B5,1.002,1.2136,6726464.48
6,6,S6B6,0.846,1.1756,6675986.77
6,7,S6B7,0.434,1.1435,6635651.25
6,8,S6B8,0.893,1.1977,6689651.61
6,9,S6B9,0.905,1.2101,6744529.62
6,10,S6B10,0.416,1.2275,6721373.47
7,1,S7B1,0.794,1.0161,9013241.91
7,2,S7B2,0.991,1.1132,9039133.89
7,3,S7B3,1.171,1.1173,9041641.05
7,4,S7B4,0.870,1.2030,8954621.33
7,5,S7B5,0.833,1.1121,9016520.74
7,6,S7B6,0.738,1.2937,8987925.64
7,7,S7B7,0.569,1.2182,8931701.53
7,8,S7B8,0.427,1.1762,8956252.47
7,9,S7B9,0.616,1.2420,8902834.02
7,10,S7B10,0.262,1.3676,8968351.18
8,1,S8B1,1.078,0.9271,13068989.61
8,2,S8B2,0.586,1.1035,12956761.84
8,3,S8B3,0.633,1.0471,13022250.70
8,4,S8B4,0.507,1.1511,12996407.02
8,5,S8B5,0.840,1.2372,12915921.30
8,6,S8B6,0.707,1.2149,12758426.69
8,7,S8B7,0.593,1.1494,12777500.06
8,8,S8B8,0.421,1.2277,12907843.98
8,9,S8B9,0.533,1.2048,12860400.63
8,10,S8B10,-0.184,1.2157,12777034.34
9,1,S9B1,0.718,0.8691,21783753.45
9,2,S9B2,0.755,1.0526,21478879.89
9,3,S9B3,0.666,1.0303,20959589.27
9,4,S9B4,0.437,1.1172,21487762.04
9,5,S9B5,0.721,1.1257,21564973.39
9,6,S9B6,0.717,1.1729,21612072.52
9,7,S9B7,0.183,1.1782,21672655.44
9,8,S9B8,0.278,1.1750,21313279.28
9,9,S9B9,0.297,1.2340,21499690.00
9,10,S9B10,0.228,1.3605,21754141.53
10,1,S10B1,0.687,0.5526,217167490.39
10,2,S10B2,0.791,0.6526,154386952.86
10,3,S10B3,0.769,0.9281,95409346.59
10,4,S10B4,0.675,0.9375,95325020.48
10,5,S10B5,0.412,0.9648,112390114.73
10,6,S10B6,0.433,0.9858,93133928.58
10,7,S10B7,0.450,1.0764,82716822.71
10,8,S10B8,0.359,1.1855,79104879.67
10,9,S10B9,0.022,1.2603,81092550.13
10,10,S10B10,-0.207,1.2935,76313368.60
