model,coefficient,avg_lambda,nw12_tstat
M1_beta,intercept,0.0102566764,2.1391
M1_beta,beta,-0.0018767517,-1.4216
M2_ln_size,intercept,0.0706283356,2.4159
M2_ln_size,ln_size,-0.0040016207,-2.4603
M3_ln_be_me,intercept,-0.0020410475,-0.2147
M3_ln_be_me,ln_be_me,0.0016546770,1.4404
M4_beta_ln_size,intercept,0.0702389414,2.5375
M4_beta_ln_size,beta,-0.0020636344,-1.6547
M4_beta_ln_size,ln_size,-0.0038224662,-2.4629
M5_beta_ln_be_me,intercept,0.0016829979,0.1916
M5_beta_ln_be_me,beta,-0.0016144620,-1.3610
M5_beta_ln_be_me,ln_be_me,0.0013416481,1.2254
M6_ln_size_ln_be_me,intercept,0.0564932879,1.9163
M6_ln_size_ln_be_me,ln_size,-0.0038679563,-2.5215
M6_ln_size_ln_be_me,ln_be_me,0.0020012426,1.9647
M7_all3,intercept,0.0602088315,2.0716
M7_all3,beta,-0.0018573550,-1.6058
M7_all3,ln_size,-0.0038788695,-2.5414
M7_all3,ln_be_me,0.0017740902,1.8507
