Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1992-07,0.053661788671610644,-0.022638536092039346,0.19191141322593364,0.08655605643000606,0.03339327302139297,0.086705,2,2,2,2,3,1
1992-08,-0.24595859753395932,-0.2662807788114676,-0.10824645274102081,-0.1167235786256572,-0.10707675787780516,-0.082447,2,2,2,2,3,1
1992-09,-0.17127398931082188,-0.14326562789494113,-0.01012199104374785,-0.022650669393152925,-0.042268317962243375,0.037681,2,2,2,2,3,1
1992-10,-0.3489616856835205,-0.2326740702689642,-0.17857474136038762,-0.16069272924641104,-0.1603633387077949,-0.167598,2,2,2,2,3,1
1992-11,0.4490330736609752,0.3481598049596536,-0.014436933846053568,0.05861603750549311,0.050874122463679394,-0.020134,2,2,2,2,3,1
1992-12,0.07352432694254957,0.10306542335766423,0.17812392411467115,0.10325173875285101,0.10422100248157462,0.215753,2,2,2,2,3,1
1993-01,0.4211634552359353,0.3995499078877713,0.15989323294976143,0.12421534027165514,0.16279302055188805,0.078873,2,2,2,2,3,1
1993-02,0.2405430715394318,0.11498813853427896,0.30737774174268634,0.12319312135567109,0.11255823256628901,0.248042,2,2,2,2,3,1
1993-03,-0.2020704610043706,-0.32349404622169453,-0.14306874014436424,-0.05862424396654274,-0.12155396160400796,-0.046025,2,2,2,2,3,1
1993-04,0.37070036847790855,0.5840255007327796,0.1255827689699025,0.11274194728312227,0.09255738271934844,0.095494,2,2,2,2,3,1
1993-05,-0.27297111160293236,-0.27201223515805706,-0.17561316279069766,-0.13327051484221564,-0.14810511415498612,-0.119134,2,2,2,2,3,1
1993-06,-0.04769753036230406,0.09637811904257573,-0.060378776276086364,-0.051352784290260474,-0.061437730490858024,-0.11885200000000001,2,2,2,2,3,1
1993-07,-0.07929658649221977,-0.0942468671783651,-0.125473189903787,-0.07292178948870945,-0.05236730657544653,-0.08437478137749986,5,13,6,10,5,8
1993-08,0.11020204072169086,0.050907542944857234,0.010533737612700302,0.07381410755259374,0.12423169329130347,-0.001780692006917173,5,13,6,10,5,8
1993-09,-0.02736872230957822,-0.0071699466605268545,0.07871433256054206,-0.05153020865474888,-0.07452075082298927,-0.012479683242862557,5,13,6,10,5,8
1993-10,-0.03354295589133524,-0.03189585780698935,-0.00778585252248006,-0.050895571026487355,-0.08148029162704709,-0.09104535421286072,5,13,6,10,5,8
1993-11,0.12071697469526442,0.1973809876082527,0.3325101964018041,0.04740555922287636,0.12855837524437805,0.08406795372118343,5,13,6,10,5,8
1993-12,-0.037622746724812826,-0.13022994325471848,-0.11830366883317564,-0.01409341548785354,-0.05066597798788501,-0.21998935672338216,5,13,6,10,5,8
1994-01,-0.12801508506501297,-0.09537974982992911,-0.0857007720030093,-0.19556301517239466,-0.21898839700647113,-0.15077761908217566,5,13,6,10,5,8
1994-02,0.030913136866248872,-0.0007988195625321631,-0.017886165774208027,0.000784562063475975,0.07657610110633238,-0.027491692242200532,5,13,6,10,5,8
1994-03,-0.1480950582681591,-0.05250847667839938,0.03736140930273155,-0.17381583715696394,-0.19775253135076373,-0.1369482417360636,5,13,6,10,5,8
1994-04,-0.14694405689663667,-0.1382627137223031,-0.15439924796874205,-0.11957594236416134,-0.1385413783900846,-0.130354171663364,5,13,6,10,5,8
1994-05,-0.08077009248787625,-0.07668108515545265,-0.022073050530648484,-0.026609224795795552,-0.04614853068847384,-0.11184908578398227,5,13,6,10,5,8
1994-06,-0.15062990694710823,-0.15617507081652182,-0.19762170696212428,-0.12844218032277718,-0.19390408756916075,-0.1389565061493306,5,13,6,10,5,8
1994-07,-0.3555596731409327,-0.28086161341047133,-0.2813004374231419,-0.29422119038513084,-0.2130352349154127,-0.24906187861520362,27,37,15,21,26,32
1994-08,1.5709883421004016,1.1464786915295928,1.265696465170074,1.3687751936973707,0.8979937106658495,1.0736506069797906,27,37,15,21,26,32
1994-09,0.06472530101866063,0.1577505061048827,0.11538463123952543,0.03944135194282303,0.1316755098710701,0.04277516546640227,27,37,15,21,26,32
1994-10,-0.16861319937571304,-0.16813940164426394,-0.15772198758886394,-0.2048802599557578,-0.20483184465943222,-0.18942978598487942,27,37,15,21,26,32
