size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,2.840018753252555,189
1,2,2.024545622029335,201
1,3,2.2535312205180054,213
1,4,3.406809930153323,213
1,5,2.9061767551344277,213
2,1,1.276464309688993,201
2,2,2.19991940013696,213
2,3,1.4179409319680771,201
2,4,2.002852363326249,201
2,5,2.2966530338779396,213
3,1,1.0411772266393515,213
3,2,1.100349959831114,201
3,3,1.4587496785232208,201
3,4,1.7957183788526718,213
3,5,1.7555281983927256,201
4,1,1.0003194255554202,213
4,2,0.8350585865578868,201
4,3,1.288111875165779,213
4,4,1.7580163117205603,189
4,5,1.3235024302743434,201
5,1,0.6338541130413361,201
5,2,1.0541547791840675,201
5,3,0.9521293776311767,213
5,4,1.194976257068634,201
5,5,1.1229507704234416,201
