size_quintile,bm_quintile,avg_me_rmb_mm,avg_n_firms,avg_me_pct_of_total
1,1,910759.7270925031,51.3125,1.3161606187912378
1,2,950420.8634467789,39.05882352941177,1.1991440526882386
1,3,974859.675872895,41.05882352941177,1.2306614592624638
1,4,918792.2570209528,36.611111111111114,1.0921661294158234
1,5,931722.7782182605,25.77777777777778,0.7821376081114598
2,1,1526462.2857743548,31.0625,1.4368065265960566
2,2,1462952.8078345216,38.8235294117647,1.8091980457620878
2,3,1402175.7524736137,39.44444444444444,1.8354408048234012
2,4,1515061.6796865473,43.375,1.9438833852333925
2,5,1480969.9391249965,35.588235294117645,1.5367888449632845
3,1,2083383.8257513742,27.61111111111111,2.1116725196456976
3,2,2027838.912463492,31.72222222222222,2.1976517609412998
3,3,2122365.5798161533,35.11764705882353,2.43769020252749
3,4,2139771.599585439,36.05882352941177,2.346098569255688
3,5,2118651.119510602,41.0,2.646145223712851
4,1,3287297.331705263,30.11111111111111,3.462867372279528
4,2,3396056.057412191,33.05882352941177,3.179229118447763
4,3,3321471.6470341524,30.470588235294116,2.9034043817949664
4,4,3378374.531864258,32.23529411764706,3.313285066180304
4,5,3365222.6264700815,38.11764705882353,4.011972693128363
5,1,10884898.890058808,34.94444444444444,12.67049799937643
5,2,18050254.253415145,29.22222222222222,12.837647118293972
5,3,19578171.200320482,25.333333333333332,12.006633200668684
5,4,16356891.930020534,26.055555555555557,10.098064761416875
5,5,15770919.312737184,32.8235294117647,12.277227316426579
