size_quintile,bm_quintile,portfolio,mean_pct,std_pct,nw12_tstat,n_months
1,1,S1B1,2.7857799349151464,17.66020451130616,2.130498159739095,189
1,2,S1B2,2.060322586332252,14.759872324851592,2.0081286156832716,201
1,3,S1B3,2.0929060918708484,14.32950367625518,1.8968648971863444,201
1,4,S1B4,3.3862420574906675,16.387279703523642,3.0534902316136336,213
1,5,S1B5,2.994059995245974,16.708822459096954,2.576202974477285,213
2,1,S2B1,1.6093121781987876,14.82922575184811,1.4320704651997813,189
2,2,S2B2,1.7028417328098295,14.967769076737127,1.6748201790355979,201
2,3,S2B3,1.721160008040247,14.340188494665876,1.7981958869430321,213
2,4,S2B4,2.4689155266833454,15.017255219851744,2.129296032046965,189
2,5,S2B5,2.260734643823947,15.358651027144635,2.1318452362672886,201
3,1,S3B1,0.8534767538313316,16.18332317340303,0.9517158281351932,213
3,2,S3B2,1.6956614360326392,15.130207849464696,1.7670841591441515,213
3,3,S3B3,1.5360541935340484,14.70389652578487,1.4302695984742895,201
3,4,S3B4,1.8830326955117174,13.844309457276266,1.8197684419659115,201
3,5,S3B5,2.2863043158381706,15.006586369050497,2.096841066225759,201
4,1,S4B1,0.9156872927624012,16.577295224931827,0.9613640848482172,213
4,2,S4B2,0.5654942829400907,11.787605184771557,0.5935780860122662,201
4,3,S4B3,0.9613193085304391,13.070166456173427,0.9816508861237441,201
4,4,S4B4,1.4179163525379703,12.683889652854367,1.3476790800268172,201
4,5,S4B5,1.39716175095887,13.025131828899914,1.3267812061354156,201
5,1,S5B1,0.6088130234991486,15.819855997567867,0.6131353862415228,213
5,2,S5B2,0.7255716469828097,11.849978876702561,0.7778656502235404,213
5,3,S5B3,0.8683024530684544,12.990119277440689,0.9893629076576278,213
5,4,S5B4,1.1278329244094196,12.899479838513233,1.152593967903225,213
5,5,S5B5,1.0225868798048918,13.096427508574719,0.9392325289527802,201
