form_year,Stkcd,size_june,size_dec_prev,book_equity,be_me,size2,bm3,leg_2x3,size5,bm5
1992,000001,5657258.25,2634210.72,577960000.0,219.40537847329082,2,2,BM,5,3
1992,000002,2193659.51,1466288.2,190567002.15,129.96558394863985,2,1,BL,5,1
1992,000003,1847481.27,527546.68,142698379.97,270.49431904300866,2,3,BH,5,4
1992,000004,687375.0,148750.0,50899542.14,342.1817958991597,1,3,SH,3,5
1992,000009,7670245.8,2655354.0,433689760.28,163.32653208574072,2,2,BM,5,2
1992,600601,358900.0,92300.0,16391508.1,177.5894702058505,1,2,SM,2,3
1992,600602,4185000.0,1796800.0,418080099.09,232.680375717943,2,2,BM,5,3
1992,600651,180000.0,89850.0,22297073.01,248.15885375626044,1,2,SM,1,4
1992,600652,111510.0,33426.0,13149547.89,393.3928047029259,1,3,SH,1,5
1992,600653,378000.0,74750.0,10556135.62,141.2192056187291,1,1,SL,3,2
1992,600654,885612.0,197388.95,24280544.39,123.0086303716596,2,1,BL,4,1
1992,600656,878081.12,4797628.05,38890094.93,8.106108794740768,1,1,SL,3,1
1993,000001,7220399.69,5993999.81,545662200.0,91.03473762038709,2,1,BL,5,1
1993,000002,2313733.5,2281405.89,235426866.35,103.1937663446639,2,1,BL,5,1
1993,000003,2148102.43,1895537.14,201357355.24,106.22706935723772,2,1,BL,5,1
1993,000004,839767.5,699075.0,72711820.7,104.01147330400887,1,1,SL,3,1
1993,000006,1218993.15,956610.0,92391350.6,96.58204555670544,1,1,SL,3,1
1993,000007,664905.19,494315.88,53910016.84,109.05985225479708,1,1,SL,2,2
1993,000008,425482.2,430056.0,48977876.06,113.88720552672211,1,1,SL,1,2
1993,000009,6364484.27,6732918.0,653373470.85,97.0416498240436,2,1,BL,5,1
1993,000011,4163467.59,5210022.28,730235794.47,140.15982182517652,2,2,BM,5,3
1993,000012,2352747.7,1903877.04,278025884.95,146.03142908325634,2,2,BM,5,3
1993,000013,2176901.92,2639044.44,305956073.79,115.93441518173147,2,1,BL,5,2
1993,000014,745860.96,499365.6,59749579.91,119.65097297451005,1,2,SM,2,2
1993,000015,1460997.15,1174745.8,180807772.51,153.91225276991838,2,2,BM,4,3
1993,000016,2366035.52,2822231.1,310146992.67,109.89425801097579,2,1,BL,5,2
1993,000017,3121974.73,3755163.97,550432158.02,146.58005946408778,2,2,BM,5,3
1993,000018,1230874.91,1477691.58,247041502.46,167.18069305098157,1,2,SM,3,3
1993,000019,1002091.13,1187823.0,194579030.61,163.81146905725853,1,2,SM,3,3
1993,000020,1808885.1,2297131.5,268054977.0,116.69117636495777,2,2,BM,4,2
1993,000501,2646761.67,1540443.3,342830690.35,222.5532678482876,2,3,BH,5,4
1993,000502,2080875.03,896327.92,91106902.21,101.64461038991175,2,1,BL,4,1
1993,000503,1500000.0,1130000.0,102442262.71,90.65686965486725,2,1,BL,4,1
1993,600601,297600.0,237800.0,78806362.82,331.39765693860386,1,3,SH,1,5
