Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2010-04,-0.05611043788478219,-0.057317677428807404,-0.0716285496865165,-0.05650154283731309,-0.07448546305310476,-0.09679227666150042,217,321,214,233,279,237
2010-05,-0.06424310874354348,-0.07428973312200202,-0.09540330552546002,-0.060340037036928106,-0.1051676671868796,-0.08705125457719087,213,320,211,233,278,237
2010-06,-0.08964312862777069,-0.09411010109639953,-0.10439456893198308,-0.07286808065508185,-0.06413782205820867,-0.08421168073992616,213,322,211,233,278,235
2010-07,0.15400637760801203,0.17536968551109136,0.16677905469003956,0.13882379904288009,0.14759105415228405,0.0944636883707818,234,329,206,226,285,255
2010-08,0.11984643997613993,0.107935055352858,0.0931951071082546,0.10397250665200396,0.06658848651168318,-0.030620021071775517,235,327,206,225,284,252
2010-09,0.022576876959764493,0.014594192714346428,0.007252401509270841,0.05757203942247392,0.015195961932156074,-0.00422520311285914,234,328,206,226,287,252
2010-10,0.0711993623179435,0.09229548262294254,0.08425761610197505,0.11691990317045665,0.15164523584619083,0.12113270108352109,233,327,205,226,286,253
2010-11,0.009698259319938595,0.01730725798254083,0.004588860378085331,-0.005195239443856555,-0.05045115215190552,-0.06837240983480919,234,326,204,226,286,254
2010-12,-0.0308284416527284,-0.02196152866771481,-0.021174329397041145,-0.017884816179559747,-0.016489152660719354,0.0027557543246619076,231,328,205,225,285,255
2011-01,-0.046981585903555174,-0.05023581964345189,-0.027591814389581023,-0.07501189524150643,-0.04510786750168825,0.009941537730126617,229,327,205,225,283,254
2011-02,0.12062213991169811,0.11815707042770508,0.11023938633098579,0.0771895881460884,0.09843005914794785,0.02098003265776999,230,326,205,225,285,253
2011-03,-0.004265988171011603,0.010414740683644003,0.003203604741617147,-0.016928551037542993,-0.03829984619658413,0.024174754407216892,232,326,206,222,282,251
2011-04,-0.028858994366483193,-0.03143690860346407,-0.02663147693777762,-0.02450458349612378,-0.03509022366615204,0.005540353594136817,232,324,205,223,282,251
2011-05,-0.07335141822038109,-0.0708600284039215,-0.07834346948440889,-0.05234533109614353,-0.07105270220209885,-0.05719138158816087,227,323,204,223,280,253
2011-06,0.0456078126982626,0.04045748113447936,0.03640133498392182,0.041939168982718385,0.03134786768162567,0.013426661286412522,226,324,205,223,281,253
2011-07,0.04329221566498356,0.02001409691885699,0.0011830159083870157,0.034850975814632826,-0.005111258357217909,-0.036969360428719365,250,399,226,275,301,300
2011-08,-0.026576572221491207,-0.025480192286732622,-0.03382280401270228,-0.0228128116848265,-0.05384199462907858,-0.056026962056054445,248,399,226,274,300,300
2011-09,-0.11869265681711919,-0.11778922195013634,-0.11804020895928766,-0.12590224978294676,-0.11771461917441266,-0.060476359188619065,247,397,226,274,299,299
