Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2010-04,1,1,S1B1,-0.08412038166748485,-0.08597638166748485,61
2010-04,1,2,S1B2,-0.041183915034048765,-0.04303991503404876,70
2010-04,1,3,S1B3,-0.052981116448938055,-0.05483711644893805,63
2010-04,1,4,S1B4,-0.08663497564479561,-0.0884909756447956,64
2010-04,1,5,S1B5,-0.06357849433428943,-0.06543449433428943,43
2010-04,2,1,S2B1,-0.06986904939923011,-0.0717250493992301,51
2010-04,2,2,S2B2,-0.05991060956106132,-0.061766609561061316,66
2010-04,2,3,S2B3,-0.047407061242554435,-0.04926306124255443,68
2010-04,2,4,S2B4,-0.06425634858266797,-0.06611234858266797,56
2010-04,2,5,S2B5,-0.0820299975718892,-0.08388599757188919,58
2010-04,3,1,S3B1,-0.033819664417984126,-0.03567566441798412,60
2010-04,3,2,S3B2,-0.036477962459795475,-0.03833396245979547,57
2010-04,3,3,S3B3,-0.05703124402079473,-0.058887244020794725,61
2010-04,3,4,S3B4,-0.05420365198636552,-0.05605965198636552,55
2010-04,3,5,S3B5,-0.10250041476529759,-0.10435641476529758,69
2010-04,4,1,S4B1,-0.02534132163836947,-0.02719732163836947,62
2010-04,4,2,S4B2,-0.044982451365067636,-0.04683845136506763,51
2010-04,4,3,S4B3,-0.06783361000092841,-0.06968961000092841,55
2010-04,4,4,S4B4,-0.08415619682340368,-0.08601219682340368,57
2010-04,4,5,S4B5,-0.10557082858535552,-0.10742682858535552,73
2010-04,5,1,S5B1,-0.05640782906414726,-0.05826382906414725,64
2010-04,5,2,S5B2,-0.07222505219912924,-0.07408105219912924,56
2010-04,5,3,S5B3,-0.06906445604911934,-0.07092045604911934,54
2010-04,5,4,S5B4,-0.10457987204630495,-0.10643587204630495,70
2010-04,5,5,S5B5,-0.08223279096347998,-0.08408879096347997,57
2010-05,1,1,S1B1,-0.08216807029696671,-0.08402407029696671,58
2010-05,1,2,S1B2,-0.07078519191428655,-0.07264119191428654,69
2010-05,1,3,S1B3,-0.08051504166447286,-0.08237104166447286,62
2010-05,1,4,S1B4,-0.0790726128983551,-0.0809286128983551,65
2010-05,1,5,S1B5,-0.11001051089532422,-0.11186651089532422,43
2010-05,2,1,S2B1,-0.08256164800607499,-0.08441764800607499,51
2010-05,2,2,S2B2,-0.06763459814741969,-0.06949059814741969,66
2010-05,2,3,S2B3,-0.05300008427479791,-0.054856084274797906,67
2010-05,2,4,S2B4,-0.10087041030732387,-0.10272641030732386,55
2010-05,2,5,S2B5,-0.09883903817210497,-0.10069503817210497,57
2010-05,3,1,S3B1,-0.03319196469281679,-0.035047964692816784,60
2010-05,3,2,S3B2,-0.04903589129034178,-0.05089189129034178,56
2010-05,3,3,S3B3,-0.09111519110484624,-0.09297119110484624,61
2010-05,3,4,S3B4,-0.072578197912205,-0.074434197912205,55
2010-05,3,5,S3B5,-0.09363380199130891,-0.09548980199130891,68
2010-05,4,1,S4B1,-0.03271371178544712,-0.03456971178544711,62
2010-05,4,2,S4B2,-0.06675044821117085,-0.06860644821117085,51
2010-05,4,3,S4B3,-0.07100763577936235,-0.07286363577936235,55
2010-05,4,4,S4B4,-0.08513301269387873,-0.08698901269387872,57
2010-05,4,5,S4B5,-0.11691668422992751,-0.11877268422992751,73
2010-05,5,1,S5B1,-0.04150837016096454,-0.04336437016096454,64
2010-05,5,2,S5B2,-0.09267277356077334,-0.09452877356077334,56
2010-05,5,3,S5B3,-0.11077089783978011,-0.11262689783978011,54
2010-05,5,4,S5B4,-0.09436774821612007,-0.09622374821612006,70
2010-05,5,5,S5B5,-0.08981711741489809,-0.09167311741489809,57
2010-06,1,1,S1B1,-0.10526938483799707,-0.10712538483799706,58
2010-06,1,2,S1B2,-0.09878370178181928,-0.10063970178181927,69
2010-06,1,3,S1B3,-0.0971584038262093,-0.0990144038262093,63
2010-06,1,4,S1B4,-0.09404403816129947,-0.09590003816129947,65
2010-06,1,5,S1B5,-0.10410286335096508,-0.10595886335096508,43
2010-06,2,1,S2B1,-0.09838522991058139,-0.10024122991058139,51
2010-06,2,2,S2B2,-0.10277871788313139,-0.10463471788313139,66
2010-06,2,3,S2B3,-0.09165097626984473,-0.09350697626984472,68
2010-06,2,4,S2B4,-0.08444481778317946,-0.08630081778317945,55
2010-06,2,5,S2B5,-0.12051864164025046,-0.12237464164025046,57
2010-06,3,1,S3B1,-0.08938961330444649,-0.09124561330444649,60
2010-06,3,2,S3B2,-0.10329888960071448,-0.10515488960071448,57
2010-06,3,3,S3B3,-0.1087076770726066,-0.1105636770726066,61
2010-06,3,4,S3B4,-0.1192853934863274,-0.1211413934863274,54
2010-06,3,5,S3B5,-0.10421407540306005,-0.10607007540306004,68
2010-06,4,1,S4B1,-0.10009489344825158,-0.10195089344825158,62
2010-06,4,2,S4B2,-0.08384581867375579,-0.08570181867375579,51
2010-06,4,3,S4B3,-0.10534555985346218,-0.10720155985346218,55
2010-06,4,4,S4B4,-0.10647376225151244,-0.10832976225151243,57
2010-06,4,5,S4B5,-0.10960972722559666,-0.11146572722559665,72
2010-06,5,1,S5B1,-0.08475326304145822,-0.08660926304145822,64
