size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,0.9804798735212363,189
1,2,1.4711156694035237,189
1,3,1.633657154188678,189
1,4,1.5809561277679942,189
1,5,1.3325541936573861,189
2,1,0.4305902827747954,189
2,2,0.7933138599380709,189
2,3,1.0665794942848694,189
2,4,0.8775142466744464,189
2,5,0.9291523571037429,189
3,1,0.5024574090966264,189
3,2,0.5521144784915579,189
3,3,0.7553138744052398,189
3,4,0.5862311538986261,189
3,5,0.6327142190257775,189
4,1,0.3072826757378749,189
4,2,0.4232008192764496,189
4,3,0.34665554702069895,189
4,4,0.32927397275169656,189
4,5,0.5268809488568081,189
5,1,0.2849601813427582,189
5,2,0.3875489131280222,189
5,3,0.1319674344377388,189
5,4,0.22353890147609035,189
5,5,0.4556749893233932,189
