size_quintile,bm_quintile,avg_me_rmb_mm,avg_n_firms,avg_me_pct_of_total
1,1,1584947.9223550695,90.96875,1.0185790173038893
1,2,1675076.065066287,78.42424242424242,0.9694103243723616
1,3,1699983.9818206145,78.18181818181819,0.9689739991334831
1,4,1668962.021824996,69.5,0.8881135138135012
1,5,1701915.756444199,43.38235294117647,0.6082972372225148
2,1,2830404.252711051,58.3125,1.1512831770939813
2,2,2735639.8170359856,72.51515151515152,1.443984032343051
2,3,2698815.3658849047,78.05882352941177,1.5402572644848727
2,4,2828207.1482856176,81.75,1.5660378611212313
2,5,2771671.494057378,65.15151515151516,1.2573141044804215
3,1,4330480.529069563,54.3235294117647,1.7737668228089662
3,2,4274518.139350742,66.5,1.9661633344217033
3,3,4376846.467579329,71.0909090909091,2.10535318443988
3,4,4347920.472307663,72.03030303030303,2.059002572246846
3,5,4383765.721353479,69.36363636363636,2.1389147052675677
4,1,7945353.493197284,60.088235294117645,3.243913119194838
4,2,7994633.72763881,61.666666666666664,3.0022266939815347
4,3,7974204.422473949,57.24242424242424,2.773637231486433
4,4,8041788.059689084,58.90909090909091,2.9741740294833194
4,5,8107660.67257329,71.45454545454545,3.6072795431133127
5,1,35834071.117529236,61.705882352941174,13.184736725943884
5,2,33481197.327550992,43.55882352941177,10.036963312799081
5,3,32632486.27661702,37.794117647058826,9.031026487432875
5,4,37659451.3086701,42.88235294117647,9.61245981395799
5,5,63232492.94361413,74.93939393939394,22.64935014730817
