portfolio,size_quintile,bm_quintile,alpha_pct,nw12_t_alpha,beta_mkt,nw12_t_mkt,r2,n_months
S1B1,1,1,0.5849223450750848,1.3943073599738922,1.1445810706636366,20.73541642956134,0.6204590684958166,189
S1B2,1,2,1.0606935356702076,2.3474150590196725,1.1875931349300137,13.770514923064674,0.5960619090323661,189
S1B3,1,3,1.229064934299055,2.905004163705786,1.170723758039872,17.756790888801465,0.6328554277424752,189
S1B4,1,4,1.1899752868025169,3.383575932820636,1.1313380162909878,14.491203764213841,0.6000362844376184,189
S1B5,1,5,0.9366401418799363,2.80320069806333,1.145612702795269,21.828488164311732,0.6805773693880424,189
S2B1,2,1,0.018412282903005738,0.04956990364830695,1.1926738905728427,17.13071053854463,0.6836683734798964,189
S2B2,2,2,0.3777568037317939,1.1728469155590218,1.2024514921580105,19.392119367923478,0.69581591444642,189
S2B3,2,3,0.6730552783813669,2.008548555156575,1.1386974990471364,19.85581758033376,0.6958444007125613,189
S2B4,2,4,0.47101693932128386,1.698069560995327,1.1762362989268873,20.13642567681951,0.7416420747487202,189
S2B5,2,5,0.5320051269525758,2.2733783955905262,1.1491810146634642,28.44712260927742,0.784444880232106,189
S3B1,3,1,0.08962577953310867,0.2800856086050305,1.1945652265191327,16.84756030246697,0.68864761762845,189
S3B2,3,2,0.14591482572587788,0.45687586567776095,1.1753750087682422,18.830762827949737,0.72182995778916,189
S3B3,3,3,0.34817804881661424,1.5016060616328337,1.1780839085235382,22.654979447792293,0.7218851447763672,189
S3B4,3,4,0.1803625295035927,0.9104642288992538,1.1744171485844581,25.76488028638708,0.82983645845743,189
S3B5,3,5,0.24704900626722243,1.339900496725859,1.1159567708670193,35.53517999690708,0.8484893269678851,189
S4B1,4,1,-0.07596500625082822,-0.2675809571043532,1.1089614294617143,16.321044915025592,0.7020981670253685,189
S4B2,4,2,0.03147735891044206,0.1649510502681388,1.1334868519152106,22.089966892867626,0.7867580659317324,189
S4B3,4,3,-0.05898914020388739,-0.31944719720399556,1.1737691663622043,23.210546509256645,0.8432805335617144,189
S4B4,4,4,-0.07033406591428296,-0.49728326940973877,1.1563015840927624,22.452675391365567,0.8752514064674514,189
S4B5,4,5,0.13682569475881112,0.7385069178676026,1.1286597479441955,23.189461710567056,0.8656618153222474,189
S5B1,5,1,-0.07114775638089321,-0.22451820703517303,1.0304301531883089,17.997071499847323,0.753681291010954,189
S5B2,5,2,0.017218222620795115,0.0704547433077379,1.0715849598551357,21.887463514444168,0.8678075813237927,189
S5B3,5,3,-0.23938665219012464,-1.0683090132588302,1.0745462480199,25.817794983573407,0.8844911739487378,189
S5B4,5,4,-0.151621349591419,-1.0003108371603644,1.085559725090012,24.008141837093582,0.8849305080144452,189
S5B5,5,5,0.20240769365924038,0.9514928956871055,0.7328515616277108,12.970718554286623,0.6325784126618357,189
